ontology ID,label,parent class,definition,definition cross reference,comment,comment cross reference,editors note,exact synonym,broad synonym,narrow synonym,related synonym,in subset,cross reference,subclass axiom,creation date,created by
ID,AL rdfs:label@en,SC %,AL IAO:0000115@en,>AI oboInOwl:hasDbXref SPLIT=|,AL rdfs:comment@en,>AI oboInOwl:hasDbXref SPLIT=|,AL IAO:0000116@en,AL oboInOwl:hasExactSynonym@en SPLIT=|,AL oboInOwl:hasBroadSynonym@en SPLIT=|,AL oboInOwl:hasNarrowSynonym@en SPLIT=|,AL oboInOwl:hasRelatedSynonym@en SPLIT=|,A oboInOwl:inSubset SPLIT=|,AI oboInOwl:hasDbXref SPLIT=|,SC % SPLIT=|,AT oboInOwl:creation_date^^xsd:dateTime,AI oboInOwl:created_by SPLIT=|
ENVO:03600094,stream pool,water body,A water body which is created in a stream by local scour or impoundment and has some structural control.,https://data.neonscience.org/documents/10179/2093436/NEON.DOC.003044vD/6d60d722-b43e-4654-bca3-524527771e66,"Pool water depth is above average for the stream. If if all the running water in the stream was shut off, areas in the stream that still hold water are pools. Pool water velocity is below average for the reach, causing fine sediments to deposit in pools. Pools are generally longer than they are wide (unless they are plunge pools), and are 1.5 x deeper at their maximum depth than they are at their crest",,,,pool,,,,,'part of' some stream,2023-08-25T:17:42.901Z,https://orcid.org/0000-0002-5004-3362
ENVO:03600095,stream run,hydroform,A hydroform which is that part of a stream where water flows swiftly and uniformly with low surface water agitation.,https://data.neonscience.org/documents/10179/2093436/NEON.DOC.003044vD/6d60d722-b43e-4654-bca3-524527771e66,,,,,run,,,,,'part of' some stream,2023-08-25T:17:42.901Z,https://orcid.org/0000-0002-5004-3362
ENVO:03600096,step pool,stream pool,"A stream pool which is formed as a result of high-gradient, steep streams where water cascades over a rock or woody snag.",https://data.neonscience.org/documents/10179/2093436/NEON.DOC.003044vD/6d60d722-b43e-4654-bca3-524527771e66|http://thanospapanicolaou.com/files/2013/01/step-pool.pdf,"Due to the gradient and surrounding geology, this pattern continues down the stream: step (drop), pool, step, pool, etc.",,,,,,,,,'part of' some stream,2023-08-25T:17:42.901Z,https://orcid.org/0000-0002-5004-3362
