ID,label,definition,EBI Biomes,environmental feature,environmental material,anatomical entity,quality,biome (subclass of),EBI Biome Path
ID,LABEL,A IAO:0000115,A http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,C 'determined by' some %,C RO:0002507 some %,C RO:0002507 some %,C RO:0000053 some %,C %,A http://www.geneontology.org/formats/oboInOwl#hasDbXref
ENVO:3100035,glacial lake biome,A freshwater lake biome which is determined by a glacial lake. ,Glacial lake,http://purl.obolibrary.org/obo/ENVO_00000488,,,,http://purl.obolibrary.org/obo/ENVO_01000252,https://www.ebi.ac.uk/metagenomics/browse?lineage=root:Environmental:Aquatic:Freshwater:Ice:Glacial%20lake
,,,,,http://purl.obolibrary.org/obo/ENVO_01001125,,,,
