c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
IGSN:mountain range	mountain range	ENVO:00000080	mountain range			ENVO:00000478	range of mounts	high		mountain range		[info(label,label,downcase)]	[info(label,label,downcase)]								
IGSN:ocean trench	ocean trench	ENVO:00000275	ocean trench			ENVO:00000017|ENVO:01000649|_:file:///Users/cjm/repos/envo/envo.owl#_:Description1556	saline hydrographic feature|trench|	high		ocean trench		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
IGSN:outcrop	outcrop	ENVO:01000302	outcrop			ENVO:00000191	solid astronomical body part	high		outcrop		[info(label,label,downcase)]	[info(label,label,downcase)]								
IGSN:plain	plain	ENVO:00000086	plain			ENVO:00000191	solid astronomical body part	medium		plain		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]							ENVO:00000104|ENVO:00000104|ENVO:00000260|ENVO:00000260|ENVO:00000527|ENVO:00000527	undersea feature|undersea feature|prairie|prairie|interfluve|interfluve
IGSN:plateau	plateau	ENVO:00000182	plateau			ENVO:01001491	flattened elevation	medium		plateau		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]							ENVO:00000104|ENVO:00000104|ENVO:00000179|ENVO:00000179|ENVO:00000265|ENVO:00000265|ENVO:00000287|ENVO:00000287	undersea feature|undersea feature|mesa|mesa|guyot|guyot|butte|butte
IGSN:reef	reef	ENVO:00000150	rocky reef			ENVO:00000012	hydrographic feature	medium		reef		[info(label,exact,downcase)]	[info(label,exact,downcase)]					IGSN:ledge|IGSN:ledge	ledge|ledge	ENVO:00000150|ENVO:00000150|ENVO:00000166|ENVO:00000166	coral reef|coral reef|atoll|atoll
IGSN:ridge	ridge	ENVO:00000283	ridge			ENVO:00000176	elevation	medium		ridge		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]							ENVO:00000104|ENVO:00000104|ENVO:00000104|ENVO:00000170|ENVO:00000170|ENVO:00000276|ENVO:00000276|ENVO:00000282|ENVO:00000282|ENVO:00000429|ENVO:00000429|ENVO:00000498|ENVO:00000498|ENVO:00000528|ENVO:00000528|ENVO:00000542|ENVO:00000542	undersea feature|undersea feature|undersea feature|dune|dune|drumlin|drumlin|esker|esker|arete|arete|volcanic dike|volcanic dike|ice cap ridge|ice cap ridge|kame|kame
IGSN:rift zone	rift zone	ENVO:01001104	rift zone			ENVO:01000408	environmental zone	medium		rift zone		[info(label,label,downcase)]	[info(label,label,downcase)]							ENVO:00000302|ENVO:00000302	rift valley|rift valley
IGSN:sea	sea	ENVO:00000016	sea			ENVO:00001999|ENVO:01001319	marine water body|saline water body	medium		sea		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]					IGSN:channel|IGSN:channel	channel|channel		
IGSN:seamount	seamount	ENVO:00000264	seamount			ENVO:00000081	mountain	medium		seamount		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]					IGSN:mesa|IGSN:mesa|IGSN:mountain|IGSN:mountain|IGSN:mountain	mesa|mesa|mountain|mountain|mountain	ENVO:00000265|ENVO:00000265	guyot|guyot
IGSN:stream	stream	ENVO:00000023	stream			ENVO:00000029	watercourse	medium		stream		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]							ENVO:00000024|ENVO:00000024|ENVO:00000029|ENVO:00000029|ENVO:00000041|ENVO:00000041|ENVO:00000069|ENVO:00000069|ENVO:00000152|ENVO:00000152|ENVO:00000153|ENVO:00000153|ENVO:00000272|ENVO:00000272|ENVO:00000385|ENVO:00000385|ENVO:00000427|ENVO:00000427|ENVO:00000495|ENVO:00000495|ENVO:00000517|ENVO:00000517	obsolete intermittent stream|obsolete intermittent stream|watercourse|watercourse|tidal creek|tidal creek|distributary|distributary|anabranch|anabranch|headwater|headwater|confluence|confluence|stream mouth|stream mouth|meander|meander|tributary|tributary|lost stream|lost stream
IGSN:submarine canyon	submarine canyon	ENVO:00000267	submarine canyon			ENVO:00000169	canyon	medium		submarine canyon		[info(label,label,downcase)]	[info(label,label,downcase)]					IGSN:canyon|IGSN:canyon|IGSN:canyon	canyon|canyon|canyon		
IGSN:thermal feature	thermal feature	ENVO:00000051	hot spring			ENVO:00000027	spring	medium		thermal feature		[info(label,exact,downcase)]	[info(label,exact,downcase)]							ENVO:00000050|ENVO:00000050|ENVO:00000216|ENVO:00000216	geyser|geyser|fumarole|fumarole
IGSN:valley	valley	ENVO:00000100	valley			ENVO:03000015	geographic basin	medium		valley		[info(label,label,downcase)]	[info(label,label,downcase)]							ENVO:00000104|ENVO:00000104|ENVO:00000104|ENVO:00000169|ENVO:00000169|ENVO:00000184|ENVO:00000184|ENVO:00000248|ENVO:00000248|ENVO:00000418|ENVO:00000418|ENVO:00000439|ENVO:00000439	undersea feature|undersea feature|undersea feature|canyon|canyon|hanging valley|hanging valley|glacial valley|glacial valley|ria|ria|dell|dell
IGSN:volcano	volcano	ENVO:00000247	volcano			ENVO:00000094|ENVO:01000667	volcanic feature|geological fracture	high		volcano		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
