LTER:272 ! ions	LTER:643 ! substances
LTER:273 ! iron	LTER:643 ! substances
LTER:276 ! isotopes	LTER:643 ! substances
LTER:28 ! aluminum	LTER:643 ! substances
LTER:287 ! lead	LTER:643 ! substances
LTER:29 ! amino acids	LTER:643 ! substances
LTER:292 ! leaf nutrients	LTER:643 ! substances
LTER:296 ! leucine	LTER:643 ! substances
LTER:30 ! ammonia	LTER:643 ! substances
LTER:302 ! litter	LTER:643 ! substances
LTER:31 ! ammonium	LTER:643 ! substances
LTER:319 ! magnesium	LTER:643 ! substances
LTER:321 ! manganese	LTER:643 ! substances
LTER:334 ! methane	LTER:643 ! substances
LTER:34 ! anions	LTER:643 ! substances
LTER:367 ! nickel	LTER:643 ! substances
LTER:368 ! nitrate	LTER:643 ! substances
LTER:368 ! nitrate	LTER:643 ! substances
LTER:369 ! nitric acid	LTER:643 ! substances
LTER:371 ! nitrite	LTER:643 ! substances
LTER:371 ! nitrite	LTER:643 ! substances
LTER:372 ! nitrogen	LTER:643 ! substances
LTER:373 ! nitrogen compounds	LTER:643 ! substances
LTER:379 ! nitrogen-15	LTER:643 ! substances
LTER:38 ! antimony	LTER:643 ! substances
LTER:380 ! nitrous oxide	LTER:643 ! substances
LTER:380 ! nitrous oxide	LTER:643 ! substances
LTER:384 ! nutrients	LTER:643 ! substances
LTER:390 ! organic carbon	LTER:643 ! substances
LTER:393 ! organic matter	LTER:643 ! substances
LTER:394 ! organic nitrogen	LTER:643 ! substances
LTER:397 ! oxygen	LTER:643 ! substances
LTER:398 ! ozone	LTER:643 ! substances
LTER:411 ! phaeophytin	LTER:643 ! substances
LTER:412 ! phaeopigments	LTER:643 ! substances
LTER:414 ! phermones	LTER:643 ! substances
LTER:415 ! phosphate	LTER:643 ! substances
LTER:416 ! phosphorus	LTER:643 ! substances
LTER:436 ! pollution	LTER:643 ! substances
LTER:440 ! porewater	LTER:643 ! substances
LTER:442 ! potassium	LTER:643 ! substances
LTER:479 ! runoff	LTER:643 ! substances
LTER:504 ! silica	LTER:643 ! substances
LTER:504 ! silica	LTER:643 ! substances
LTER:505 ! silicon	LTER:643 ! substances
LTER:518 ! sodium	LTER:643 ! substances
LTER:520 ! soil carbon	LTER:643 ! substances
LTER:525 ! soil moisture	LTER:643 ! substances
LTER:526 ! soil nutrients	LTER:643 ! substances
LTER:527 ! soil organic matter	LTER:643 ! substances
LTER:533 ! soil water	LTER:643 ! substances
LTER:537 ! soluble reactive phosphorus	LTER:643 ! substances
LTER:551 ! stable isotopes	LTER:643 ! substances
LTER:563 ! strontium	LTER:643 ! substances
LTER:567 ! sulfate	LTER:643 ! substances
LTER:568 ! sulfide	LTER:643 ! substances
LTER:569 ! sulfur	LTER:643 ! substances
LTER:570 ! sulfur hexafluoride	LTER:643 ! substances
LTER:570 ! sulfur hexafluoride	LTER:643 ! substances
LTER:590 ! total nitrogen	LTER:643 ! substances
LTER:592 ! total phosphorus	LTER:643 ! substances
LTER:63 ! bicarbonate	LTER:643 ! substances
LTER:63 ! bicarbonate	LTER:643 ! substances
LTER:638 ! woody debris	LTER:643 ! substances
LTER:640 ! zinc	LTER:643 ! substances
LTER:650 ! inorganic matter	LTER:643 ! substances
LTER:665 ! biological substances	LTER:643 ! substances
LTER:666 ! elements and compounds	LTER:643 ! substances
LTER:71 ! boron	LTER:643 ! substances
LTER:80 ! cadmium	LTER:643 ! substances
LTER:81 ! calcium	LTER:643 ! substances
LTER:85 ! carbohydrates	LTER:643 ! substances
LTER:86 ! carbon	LTER:643 ! substances
LTER:89 ! carbon dioxide	LTER:643 ! substances
LTER:89 ! carbon dioxide	LTER:643 ! substances
LTER:91 ! carbon monoxide	LTER:643 ! substances
LTER:91 ! carbon monoxide	LTER:643 ! substances
LTER:93 ! cations	LTER:643 ! substances
LTER:95 ! cellulose	LTER:643 ! substances
LTER:97 ! cesium	LTER:643 ! substances
LTER:98 ! charcoal	LTER:643 ! substances
LTER:110 ! climate change	LTER:651 ! disciplines
LTER:111 ! climatology	LTER:651 ! disciplines
LTER:116 ! community dynamics	LTER:651 ! disciplines
LTER:124 ! conservation	LTER:651 ! disciplines
LTER:140 ! dendrochronology	LTER:651 ! disciplines
LTER:172 ! ecology	LTER:651 ! disciplines
