subject_id	subject_label	object_id	object_label	predicate_id	match_type	Comments																		
http://purl.obolibrary.org/obo/ENVO_01001517	drift ice mass	http://sweetontology.net/realmCryo/DriftIce	DriftIce	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_01001518	drifting sea ice mass	http://sweetontology.net/realmCryo/DriftIce	DriftIce	skos:broadMatch	HumanCurated	SWEET DriftIce is less specific than ENVO's drifting sea ice mass																		
http://purl.obolibrary.org/obo/ENVO_01001622	englacial process	http://sweetontology.net/phenCryo/Englacial	Englacial	skos:closeMatch	HumanCurated	Englacial is a process in SWEET and in ENVO. A candidate for exact match if SWEET adds ENVO's definition to SWEET's term.																		
http://purl.obolibrary.org/obo/ENVO_01001622	englacial process	http://sweetontology.net/phenCryo/EnglacialProcess	EnglacialProcess	skos:closeMatch	HumanCurated	Candidate Exact match.  In SWEET this is deprecated.																		
http://purl.obolibrary.org/obo/ENVO_03000018	englacial stream	http://sweetontology.net/realmHydroBody/Stream	Stream	skos:broadMatch	HumanCurated	SWEET doesn't have this level of granularity																		
http://purl.obolibrary.org/obo/ENVO_00000282	esker	http://sweetontology.net/realmLandGlacial/Esker	Esker	skos:relatedMatch	HumanCurated	"In SWEET an esker is a glacial landform - a type of geometrical object, as are ridges but the two terms are parallel concepts; in ENVO an esker is a kind of ridge and a material entity."																		
http://purl.obolibrary.org/obo/ENVO_03400009	falling sleet	http://sweetontology.net/phenAtmoPrecipitation/Sleet	Sleet	skos:relatedMatch	HumanCurated	SWEET has confounded the material with the process (double inheritance)																		
http://purl.obolibrary.org/obo/ENVO_01001522	fast ice	http://sweetontology.net/realmCryo/FastIce	FastIce	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_03000002	firn	http://sweetontology.net/matrWater/Firn	Firn	skos:closeMatch	HumanCurated	SWEET has it as subclass to ice crystal which is probably not correct with the definition of firn we've come across. This could be refined in SWEET. If it is put as a subclass of snow it would be a candidate exact match. 																		
http://purl.obolibrary.org/obo/ENVO_03000071	first year ice	http://sweetontology.net/realmCryo/SeasonalIce	SeasonalIce	skos:relatedMatch	HumanCurated	This SWEET term maps even more closely to ENVO area of seasonal sea ice																		
