defined_class,defined_class_label,attribute,attribute_label,entity,entity_label
ENVO:09200002,,PATO:0000001,quality,ENVO:02500000,environmental system process
ENVO:09200003,,PATO:0000049,intensity,ENVO:01000793,atmospheric wind
