?x	?xl	?p	?pl	?y	?yl
<http://purl.obolibrary.org/obo/ENVO_00000424>	"lake island"	<http://purl.obolibrary.org/obo/RO_0001025>	"located in"@en	<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01000912>	"cloud condensation nucleus"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00010505>	"aerosol"
<http://purl.obolibrary.org/obo/ENVO_01000145>	"marine coral reef back reef"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000150>	"coral reef"
<http://purl.obolibrary.org/obo/ENVO_03000091>	"permafrost methane explosion"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/CHEBI_15379>	"dioxygen"
<http://purl.obolibrary.org/obo/ENVO_01000293>	"ice mass"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000818>	"cryosphere"@en
<http://purl.obolibrary.org/obo/ENVO_02500023>	"algal production"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_02500018>	"algal bloom process"
<http://purl.obolibrary.org/obo/ENVO_01000664>	"tuff cone"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000661>	"tuff"@en
<http://purl.obolibrary.org/obo/ENVO_00005786>	"upland soil"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000182>	"plateau"
<http://purl.obolibrary.org/obo/ENVO_00000299>	"ice field"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000277>	"water ice"
<http://purl.obolibrary.org/obo/ENVO_01000653>	"slum"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000249>	"urban biome"
<http://purl.obolibrary.org/obo/ENVO_02500035>	"transpiration"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_02500034>	"evaporation"
<http://purl.obolibrary.org/obo/ENVO_09200015>	"humidity of soil"	<http://purl.obolibrary.org/obo/RO_0000052>	"inheres in"@en	<http://purl.obolibrary.org/obo/ENVO_00001998>	"soil"
<http://purl.obolibrary.org/obo/ENVO_00002013>	"igneous rock"	<http://purl.obolibrary.org/obo/RO_0001000>	"derives from"@en	<http://purl.obolibrary.org/obo/ENVO_01000231>	"lava"
<http://purl.obolibrary.org/obo/ENVO_01001045>	"oceanic subsurface zone"@en	<http://purl.obolibrary.org/obo/RO_0002131>	"overlaps"@en	<http://purl.obolibrary.org/obo/ENVO_01000748>	"continental crust"@en
<http://purl.obolibrary.org/obo/ENVO_00002121>	"alkaline salt lake"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001430>	"alkaline"
<http://purl.obolibrary.org/obo/ENVO_01000192>	"tropical grassland biome"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000204>	"tropical"
<http://purl.obolibrary.org/obo/ENVO_01000804>	"astronomical object"@en	<http://purl.obolibrary.org/obo/RO_0002219>	"surrounded by"	<http://purl.obolibrary.org/obo/ENVO_01000637>	"outer space"@en
<http://purl.obolibrary.org/obo/ENVO_01000373>	"biological waste material"	<http://purl.obolibrary.org/obo/RO_0000087>	"has role"@en	<http://purl.obolibrary.org/obo/ENVO_01000665>	"waste role"@en
<http://purl.obolibrary.org/obo/ENVO_01000171>	"indeterminate root nodule nitrogen fixation zone"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000168>	"indeterminate root nodule"
<http://purl.obolibrary.org/obo/ENVO_01000470>	"building envelope"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000472>	"building roof"
<http://purl.obolibrary.org/obo/ENVO_00000084>	"mountain pass"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001879>	"U-shaped"
<http://purl.obolibrary.org/obo/ENVO_01001087>	"formation of liquid droplets in an atmosphere"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_01001088>	"liquid aerosol"@en
<http://purl.obolibrary.org/obo/ENVO_01000323>	"atmospheric boundary layer"	<http://purl.obolibrary.org/obo/RO_0002007>	"bounding layer of"@en	<http://purl.obolibrary.org/obo/ENVO_01000267>	"atmosphere"
<http://purl.obolibrary.org/obo/ENVO_00000102>	"cave entrance"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000067>	"cave"
<http://purl.obolibrary.org/obo/ENVO_03000017>	"glacial ice loss"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_03000004>	"glacial ice"@en
<http://purl.obolibrary.org/obo/ENVO_00005763>	"humus-rich acidic ash soil"	<http://purl.obolibrary.org/obo/envo#has_increased_levels_of>		<http://purl.obolibrary.org/obo/ENVO_01000000>	"humus"
<http://purl.obolibrary.org/obo/ENVO_00000221>	"continental island"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000223>	"continental shelf"
<http://purl.obolibrary.org/obo/ENVO_01001010>	"hydrometeor"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_00002006>	"water"
<http://purl.obolibrary.org/obo/ENVO_01000787>	"wildfire"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_00000446>	"terrestrial biome"
<http://purl.obolibrary.org/obo/ENVO_03000103>	"aeolian transport of snow"@en	<http://purl.obolibrary.org/obo/RO_0002233>	"has input"@en	<http://purl.obolibrary.org/obo/ENVO_03000027>	"powdery snow"@en
<http://purl.obolibrary.org/obo/ENVO_01000537>	"atmospheric ozone"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/CHEBI_25812>	"ozone"
<http://purl.obolibrary.org/obo/ENVO_03000032>	"calving of ice from an iceberg"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_01000293>	"ice mass"
<http://purl.obolibrary.org/obo/ENVO_01000186>	"polar desert biome"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000238>	"polar"
<http://purl.obolibrary.org/obo/ENVO_01000816>	"area of deciduous forest"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000324>	"planetary surface"
<http://purl.obolibrary.org/obo/ENVO_01000791>	"forest fire"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_00000111>	"forest"
<http://purl.obolibrary.org/obo/ENVO_01000740>	"area of perennial water ice"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000277>	"water ice"
<http://purl.obolibrary.org/obo/ENVO_01000646>	"lithosphere"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000638>	"planetary crust"@en
<http://purl.obolibrary.org/obo/ENVO_01000861>	"area of dwarf scrub"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_01000323>	"atmospheric boundary layer"
<http://purl.obolibrary.org/obo/ENVO_02500043>	"pollution monitoring"	<http://purl.obolibrary.org/obo/RO_0002233>	"has input"@en	<http://purl.obolibrary.org/obo/ENVO_02500036>	"environmental pollution"
<http://purl.obolibrary.org/obo/ENVO_03000104>	"snow drift formation"@en	<http://purl.obolibrary.org/obo/RO_0002084>	"during which ends"@en	<http://purl.obolibrary.org/obo/ENVO_03000103>	"aeolian transport of snow"@en
<http://purl.obolibrary.org/obo/ENVO_01000869>	"area of scrub"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000324>	"planetary surface"
<http://purl.obolibrary.org/obo/ENVO_01000883>	"area of developed open space"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_01000323>	"atmospheric boundary layer"
<http://purl.obolibrary.org/obo/ENVO_2100004>	"integumental system environment"	<http://purl.obolibrary.org/obo/RO_0002509>	"determined by part of"	<http://purl.obolibrary.org/obo/UBERON_0002416>	"integumental system"
<http://purl.obolibrary.org/obo/ENVO_01000828>	"humid air"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0015010>	"increased humidity"
<http://purl.obolibrary.org/obo/ENVO_01000733>	"stock"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_00002013>	"igneous rock"
<http://purl.obolibrary.org/obo/ENVO_03000046>	"frazil ice"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0000587>	"decreased size"
<http://purl.obolibrary.org/obo/ENVO_01000533>	"covered pit latrine with slab floor"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000520>	"latrine slab"
<http://purl.obolibrary.org/obo/ENVO_01000912>	"cloud condensation nucleus"@en	<http://purl.obolibrary.org/obo/RO_0000056>	"participates in"@en	<http://purl.obolibrary.org/obo/ENVO_01000913>	"nucleation of cloud condensation"@en
<http://purl.obolibrary.org/obo/ENVO_01000702>	"ash fall process"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_01000324>	"planetary surface"
<http://purl.obolibrary.org/obo/ENVO_01000683>	"glacial plucking"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_00001995>	"rock"
<http://purl.obolibrary.org/obo/ENVO_03000117>	"channel"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0002299>	"tubular"
<http://purl.obolibrary.org/obo/ENVO_01000746>	"area of perennial ice or snow"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_01000323>	"atmospheric boundary layer"
<http://purl.obolibrary.org/obo/ENVO_00000342>	"ice cap dome"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000145>	"ice cap"
<http://purl.obolibrary.org/obo/ENVO_00000385>	"stream mouth"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000023>	"stream"
<http://purl.obolibrary.org/obo/ENVO_01000384>	"tropical lowland evergreen broadleaf rain forest"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001733>	"evergreen (plant)"
<http://purl.obolibrary.org/obo/ENVO_03000084>	"thermokarst depression"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_03000085>	"thermokarst"@en
<http://purl.obolibrary.org/obo/ENVO_01000634>	"volcanic eruption"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/CHEBI_16136>	"hydrogen sulfide"
<http://purl.obolibrary.org/obo/ENVO_01000749>	"oceanic crust"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000638>	"planetary crust"@en
<http://purl.obolibrary.org/obo/ENVO_01000739>	"habitat"@en	<http://purl.obolibrary.org/obo/ENVO_2100001>	"determined by"	<http://purl.obolibrary.org/obo/PCO_0000001>	"population"
<http://purl.obolibrary.org/obo/ENVO_02500038>	"soil pollution"	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_00001998>	"soil"
<http://purl.obolibrary.org/obo/ENVO_00000406>	"mid-ocean ridge"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000015>	"ocean"
<http://purl.obolibrary.org/obo/ENVO_01000832>	"raindrop"@en	<http://purl.obolibrary.org/obo/RO_0002354>	"formed as result of"@en	<http://purl.obolibrary.org/obo/ENVO_01000724>	"condensation process"@en
<http://purl.obolibrary.org/obo/ENVO_01000814>	"solid environmental material"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001546>	"quality of a solid"
<http://purl.obolibrary.org/obo/ENVO_00000413>	"pingo"	<http://purl.obolibrary.org/obo/ENVO_01001307>	"partially_surrounded_by"	<http://purl.obolibrary.org/obo/ENVO_00001998>	"soil"
<http://purl.obolibrary.org/obo/ENVO_01000558>	"liquefied hydrocarbon gas"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001576>	"increased pressure"
<http://purl.obolibrary.org/obo/ENVO_02000019>	"bodily fluid"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/UBERON_0006314>	"bodily fluid"
<http://purl.obolibrary.org/obo/ENVO_03000006>	"glacial erosion process"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_00000133>	"glacier"
<http://purl.obolibrary.org/obo/ENVO_01000634>	"volcanic eruption"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/CHEBI_16526>	"carbon dioxide"
<http://purl.obolibrary.org/obo/ENVO_01000456>	"concrete masonry unit"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000458>	"concrete"
<http://purl.obolibrary.org/obo/ENVO_01000263>	"cold seep"	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000426>	"ocean floor"
<http://purl.obolibrary.org/obo/ENVO_01001012>	"lithometeor"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_00001995>	"rock"
<http://purl.obolibrary.org/obo/ENVO_00002297>	"environmental feature"	<http://purl.obolibrary.org/obo/RO_0002508>	"determines"	<http://purl.obolibrary.org/obo/ENVO_01000254>	"environmental system"
<http://purl.obolibrary.org/obo/ENVO_01000854>	"tropical marine coral reef biome"@en	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000204>	"tropical"
<http://purl.obolibrary.org/obo/ENVO_00000015>	"ocean"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00002149>	"sea water"
<http://purl.obolibrary.org/obo/ENVO_01000653>	"slum"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000856>	"city"
<http://purl.obolibrary.org/obo/ENVO_03000034>	"shallow marine sediment"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000223>	"continental shelf"
<http://purl.obolibrary.org/obo/ENVO_01000260>	"nutricline"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000063>	"water body"
<http://purl.obolibrary.org/obo/ENVO_01000447>	"roadside"	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000064>	"road"
<http://purl.obolibrary.org/obo/ENVO_03000088>	"methane-laden permafrost"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/CHEBI_16183>	"methane"
<http://purl.obolibrary.org/obo/ENVO_01000963>	"diatomite particle"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000962>	"diatomite"@en
<http://purl.obolibrary.org/obo/ENVO_01000202>	"temperate broadleaf forest biome"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000206>	"temperate"
<http://purl.obolibrary.org/obo/ENVO_00002872>	"bagasse"	<http://purl.obolibrary.org/obo/RO_0000087>	"has role"@en	<http://purl.obolibrary.org/obo/ENVO_01000665>	"waste role"@en
<http://purl.obolibrary.org/obo/ENVO_03000066>	"sea ice floe"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000277>	"water ice"
<http://purl.obolibrary.org/obo/ENVO_03000042>	"brine channel formation process"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_03000041>	"brine channel"@en
<http://purl.obolibrary.org/obo/ENVO_01000797>	"gaseous environmental material"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001547>	"quality of a gas"
<http://purl.obolibrary.org/obo/ENVO_03000102>	"glacial sintering"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_03000004>	"glacial ice"@en
<http://purl.obolibrary.org/obo/ENVO_00005747>	"compost soil"	<http://purl.obolibrary.org/obo/RO_0001000>	"derives from"@en	<http://purl.obolibrary.org/obo/ENVO_00002170>	"compost"
<http://purl.obolibrary.org/obo/ENVO_00002146>	"xylene contaminated soil"	<http://purl.obolibrary.org/obo/envo#has_increased_levels_of>		<http://purl.obolibrary.org/obo/CHEBI_27338>	"xylene"
<http://purl.obolibrary.org/obo/ENVO_00003092>	"salicylate enriched soil"	<http://purl.obolibrary.org/obo/envo#has_increased_levels_of>		<http://purl.obolibrary.org/obo/CHEBI_30762>	"salicylate"
<http://purl.obolibrary.org/obo/ENVO_03000021>	"soot"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/CHEBI_50860>	"organic molecular entity"
<http://purl.obolibrary.org/obo/ENVO_01000215>	"temperate shrubland biome"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000206>	"temperate"
<http://purl.obolibrary.org/obo/ENVO_01000487>	"brick building floor"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000474>	"brick material"
<http://purl.obolibrary.org/obo/ENVO_01000297>	"freshwater river"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00002011>	"fresh water"
<http://purl.obolibrary.org/obo/ENVO_00002875>	"oil contaminated soil"	<http://purl.obolibrary.org/obo/envo#has_increased_levels_of>		<http://purl.obolibrary.org/obo/ENVO_00002985>	"oil"
<http://purl.obolibrary.org/obo/ENVO_03000067>	"pancake ice"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0000411>	"circular"
<http://purl.obolibrary.org/obo/ENVO_01000719>	"snowmelt"@en	<http://purl.obolibrary.org/obo/RO_0002233>	"has input"@en	<http://purl.obolibrary.org/obo/ENVO_01000406>	"snow"
<http://purl.obolibrary.org/obo/ENVO_02500026>	"anthropogenic modulatory intervention process"	<http://purl.obolibrary.org/obo/RO_0002218>	"has active participant"@en	<http://purl.obolibrary.org/obo/NCBITaxon_9606>	"Homo sapiens"
<http://purl.obolibrary.org/obo/ENVO_08000002>	"mouth environment"	<http://purl.obolibrary.org/obo/ENVO_2100001>	"determined by"	<http://purl.obolibrary.org/obo/UBERON_0000165>	"mouth"
<http://purl.obolibrary.org/obo/ENVO_00000423>	"river island"	<http://purl.obolibrary.org/obo/RO_0001025>	"located in"@en	<http://purl.obolibrary.org/obo/ENVO_00000022>	"river"
<http://purl.obolibrary.org/obo/ENVO_01000841>	"pyrolysis"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_01000838>	"smoke"@en
<http://purl.obolibrary.org/obo/ENVO_00000386>	"river mouth"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000022>	"river"
<http://purl.obolibrary.org/obo/ENVO_00000512>	"pond bed"	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000033>	"pond"
<http://purl.obolibrary.org/obo/ENVO_01000126>	"marine sub-littoral zone"	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_01000410>	"marine eulittoral zone"
<http://purl.obolibrary.org/obo/ENVO_01000701>	"volcanic ash"@en	<http://purl.obolibrary.org/obo/RO_0002353>	"output of"@en	<http://purl.obolibrary.org/obo/ENVO_01000634>	"volcanic eruption"@en
<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001688>	"increased elevation"
<http://purl.obolibrary.org/obo/ENVO_01000500>	"brick exterior wall"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000475>	"brick"
<http://purl.obolibrary.org/obo/ENVO_00000528>	"ice cap ridge"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000145>	"ice cap"
<http://purl.obolibrary.org/obo/ENVO_00002178>	"iron-reducing zone of petroleum contaminated sediment"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00002115>	"petroleum contaminated sediment"
<http://purl.obolibrary.org/obo/ENVO_01001011>	"light emitted by lightning"@en	<http://purl.obolibrary.org/obo/RO_0002354>	"formed as result of"@en	<http://purl.obolibrary.org/obo/ENVO_01000898>	"atmospheric lightning"@en
<http://purl.obolibrary.org/obo/ENVO_01001071>	"impact crater"@en	<http://purl.obolibrary.org/obo/RO_0002354>	"formed as result of"@en	<http://purl.obolibrary.org/obo/ENVO_01001066>	"impact event"@en
<http://purl.obolibrary.org/obo/ENVO_00002262>	"clay soil"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_00002982>	"clay"
<http://purl.obolibrary.org/obo/ENVO_00001997>	"acid mine drainage"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001429>	"acidic"
<http://purl.obolibrary.org/obo/ENVO_00000398>	"volcanic cone"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0002021>	"conical"
<http://purl.obolibrary.org/obo/ENVO_01000609>	"motor boat"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000610>	"motor"@en
<http://purl.obolibrary.org/obo/ENVO_01000221>	"temperate woodland biome"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000206>	"temperate"
<http://purl.obolibrary.org/obo/ENVO_01001086>	"formation of solid particles in an atmosphere"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_01000267>	"atmosphere"
<http://purl.obolibrary.org/obo/ENVO_01000674>	"microfracture"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0000587>	"decreased size"
<http://purl.obolibrary.org/obo/ENVO_01000796>	"mass plasma flow"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_01000798>	"plasma"@en
<http://purl.obolibrary.org/obo/ENVO_03000068>	"nilas"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0000964>	"transparent"
<http://purl.obolibrary.org/obo/ENVO_00000345>	"grain of beach sand"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00002138>	"beach sand"
<http://purl.obolibrary.org/obo/ENVO_01000023>	"marine pelagic biome"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00001999>	"marine water body"
<http://purl.obolibrary.org/obo/ENVO_00000413>	"pingo"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000293>	"ice mass"
<http://purl.obolibrary.org/obo/ENVO_00000457>	"plateau glacier"	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000182>	"plateau"
<http://purl.obolibrary.org/obo/ENVO_01000646>	"lithosphere"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001545>	"inflexible"
<http://purl.obolibrary.org/obo/ENVO_01001112>	"fossilization of organic material"@en	<http://purl.obolibrary.org/obo/RO_0002233>	"has input"@en	<http://purl.obolibrary.org/obo/ENVO_01000155>	"organic material"
<http://purl.obolibrary.org/obo/ENVO_00000070>	"construction"	<http://purl.obolibrary.org/obo/RO_0002353>	"output of"@en	<http://purl.obolibrary.org/obo/ENVO_01000996>	"construction process"@en
<http://purl.obolibrary.org/obo/ENVO_01000392>	"tropical upper montane forest"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000345>	"upper montane"
<http://purl.obolibrary.org/obo/ENVO_01000714>	"storm surge"@en	<http://purl.obolibrary.org/obo/RO_0002354>	"formed as result of"@en	<http://purl.obolibrary.org/obo/ENVO_01000716>	"storm surge process"@en
<http://purl.obolibrary.org/obo/ENVO_01000982>	"water flow process"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_01000231>	"lava"
<http://purl.obolibrary.org/obo/ENVO_01000770>	"carbon dioxide emission"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001547>	"quality of a gas"
<http://purl.obolibrary.org/obo/ENVO_01000849>	"flower-rich field margin strip"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000114>	"agricultural field"
<http://purl.obolibrary.org/obo/ENVO_02500039>	"water pollution"	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_00002006>	"water"
