c,p,x
_:b0,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://vocab.getty.edu/page/aat/300024559 
_:b0,http://www.geneontology.org/formats/oboInOwl#hasDbXref, https://www.conveyorsystemsltd.co.uk/news/168/126/Roller-Conveyor-vs-Belt-Conveyor.htm
