Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	FOODON:03302082	rdfs:comment	"SIREN DB annotation:
* has quality 'solid' (http://purl.obolibrary.org/obo/FOODON_03430151)
* derives from 'skeletal meat part, without bone or shell' (http://purl.obolibrary.org/obo/FOODON_03420125)
* formed as a result of 'water removal process' (http://purl.obolibrary.org/obo/FOODON_03460138)
* formed as a result of 'preservation by dehydration or drying' (http://purl.obolibrary.org/obo/FOODON_03470116)
        @en"
WARN	annotation_whitespace	FOODON:03303220	rdfs:comment	"SIREN DB annotation:
* has substance added  'sugar or sugar syrup added' (http://purl.obolibrary.org/obo/FOODON_03460136)
                @en"
WARN	annotation_whitespace	FOODON:03303909	rdfs:comment	"SIREN DB annotation:
* derives from 'milk (mammary secretion)' (http://purl.obolibrary.org/obo/UBERON_0001913)
* formed as a result of 'microbial/enzymatic modification process' (http://purl.obolibrary.org/obo/FOODON_03460119)
        @en"
WARN	annotation_whitespace	FOODON:03304497	rdfs:comment	"SIREN DB annotation:
* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)
* derives from 'seed (anatomical part)' (http://purl.obolibrary.org/obo/FOODON_03420155)
        @en"
WARN	annotation_whitespace	FOODON:03305536	rdfs:comment	"SIREN DB annotation:
* has quality 'liquid, high viscosity, with no visible particles' (http://purl.obolibrary.org/obo/FOODON_03430139)
* has quality 'fully heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440014)
* derives from 'sugar syrup or syrup solids' (http://purl.obolibrary.org/obo/FOODON_03420271)
* has substance added  'honey added' (http://purl.obolibrary.org/obo/FOODON_03460149)
        @en"
WARN	annotation_whitespace	FOODON:03307345	rdfs:comment	"SIREN DB annotation:
* has quality 'crystal' (http://purl.obolibrary.org/obo/FOODON_03430143)
* has quality 'fully heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440014)
* derives from 'white sugar' (http://purl.obolibrary.org/obo/FOODON_03420157)
        @en"
WARN	annotation_whitespace	FOODON:03307539	rdfs:comment	"SIREN DB annotation:
* formed as a result of 'water removal process' (http://purl.obolibrary.org/obo/FOODON_03460138)
* formed as a result of 'preservation by dehydration or drying' (http://purl.obolibrary.org/obo/FOODON_03470116)
                @en"
WARN	annotation_whitespace	FOODON:03310006	rdfs:comment	"SIREN DB annotation:
* derives from 'seed (anatomical part)' (http://purl.obolibrary.org/obo/FOODON_03420155)
* formed as a result of 'microbial/enzymatic modification process' (http://purl.obolibrary.org/obo/FOODON_03460119)
* formed as a result of 'curing or aging process' (http://purl.obolibrary.org/obo/FOODON_03460253)
        @en"
WARN	annotation_whitespace	FOODON:03310387	rdfs:comment	"SIREN DB annotation:
* has quality 'liquid, high viscosity, with no visible particles' (http://purl.obolibrary.org/obo/FOODON_03430139)
* derives from 'fat or oil' (http://purl.obolibrary.org/obo/FOODON_03420190)
                @en"
WARN	annotation_whitespace	FOODON:03312053	rdfs:comment	"SIREN DB annotation:
* has quality 'divided or disintegrated' (http://purl.obolibrary.org/obo/FOODON_03430122)
* has quality 'fully heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440014)
* derives from 'skeletal meat part, without bone, without skin' (http://purl.obolibrary.org/obo/FOODON_03420268)
* formed as a result of 'microbial/enzymatic modification process' (http://purl.obolibrary.org/obo/FOODON_03460119)
* formed as a result of 'water removal process' (http://purl.obolibrary.org/obo/FOODON_03460138)
* formed as a result of 'preservation by dehydration or drying' (http://purl.obolibrary.org/obo/FOODON_03470116)
        @en"
WARN	annotation_whitespace	FOODON:03315150	rdfs:comment	"SIREN DB annotation:
* derives from 'milk (mammary secretion)' (http://purl.obolibrary.org/obo/UBERON_0001913)
        @en"
WARN	annotation_whitespace	FOODON:03315173	rdfs:comment	"SIREN DB annotation:
* derives from 'skeletal meat part' (http://purl.obolibrary.org/obo/FOODON_03420175)
        @en"
WARN	annotation_whitespace	FOODON:03315302	rdfs:comment	"SIREN DB annotation:
* derives from 'seed, skin present, germ present' (http://purl.obolibrary.org/obo/FOODON_03420133)
* formed as a result of 'microbial/enzymatic modification process' (http://purl.obolibrary.org/obo/FOODON_03460119)
* formed as a result of 'curing or aging process' (http://purl.obolibrary.org/obo/FOODON_03460253)
        @en"
WARN	annotation_whitespace	FOODON:03315904	rdfs:comment	"SIREN DB annotation:
* has quality 'whole, shape achieved by forming' (http://purl.obolibrary.org/obo/FOODON_03430147)
* derives from 'meat part of animal' (http://purl.obolibrary.org/obo/FOODON_03420103)
* has substance added  'flavoring, spice or herb added' (http://purl.obolibrary.org/obo/FOODON_03460227)
        @en"
WARN	annotation_whitespace	FOODON:03315925	rdfs:comment	"SIREN DB annotation:
* has quality 'solid' (http://purl.obolibrary.org/obo/FOODON_03430151)
* derives from 'meat part of animal' (http://purl.obolibrary.org/obo/FOODON_03420103)
        @en"
WARN	annotation_whitespace	FOODON:03316079	rdfs:comment	"SIREN DB annotation:
* has quality 'liquid' (http://purl.obolibrary.org/obo/FOODON_03430130)
* has quality 'heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440022)
* derives from 'part of plant' (http://purl.obolibrary.org/obo/FOODON_03420174)
* formed as a result of 'steeping' (http://purl.obolibrary.org/obo/FOODON_03450036)
        @en"
WARN	annotation_whitespace	FOODON:03316271	rdfs:comment	"SIREN DB annotation:
* derives from 'sugar' (http://purl.obolibrary.org/obo/FOODON_03420108)
        @en"
WARN	annotation_whitespace	FOODON:03316579	rdfs:comment	"SIREN DB annotation:
* derives from 'part of plant' (http://purl.obolibrary.org/obo/FOODON_03420174)
        @en"
WARN	annotation_whitespace	FOODON:03316694	rdfs:comment	"SIREN DB annotation:
* derives from 'fat or oil' (http://purl.obolibrary.org/obo/FOODON_03420190)
        @en"
WARN	annotation_whitespace	FOODON:03317170	rdfs:comment	"SIREN DB annotation:
* derives from 'animal body or body part' (http://purl.obolibrary.org/obo/FOODON_03420127)
        @en"
WARN	annotation_whitespace	FOODON:03430130	rdfs:comment	"SIREN DB annotation:
* has quality 'liquid' (http://purl.obolibrary.org/obo/FOODON_03430130)
                @en"
WARN	annotation_whitespace	RO:0001018	IAO:0000116	"Intended meaning:
domain: material entity
range: spatial region or site (immaterial continuant)
        @en"
WARN	annotation_whitespace	RO:0002093	rdfs:comment	X ends_during Y iff: ((start(Y) before_or_simultaneous_with end(X)) AND end(X) before_or_simultaneous_with end(Y). @en
WARN	annotation_whitespace	RO:0002163	IAO:0000116	There are two ways to encode this as a shortcut relation. The other possibility to use an annotation assertion between two classes, and expand this to a disjointness axiom. @en
WARN	annotation_whitespace	RO:0002215	IAO:0000115	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 
WARN	annotation_whitespace	RO:0002326	IAO:0000232	In the context of the Gene Ontology, contributes_to may be used only with classes from the molecular function ontology. 
WARN	duplicate_exact_synonym	ENVO:02000026	oboInOwl:hasExactSynonym	chymus
WARN	duplicate_exact_synonym	UBERON:0000910	oboInOwl:hasExactSynonym	chymus
WARN	duplicate_label_synonym	CHEBI:15379	oboInOwl:hasExactSynonym	dioxygen
WARN	duplicate_label_synonym	CHEBI:16134	oboInOwl:hasExactSynonym	ammonia
WARN	duplicate_label_synonym	CHEBI:16189	oboInOwl:hasExactSynonym	sulfate
WARN	duplicate_label_synonym	CHEBI:16646	oboInOwl:hasExactSynonym	carbohydrate
WARN	duplicate_label_synonym	CHEBI:22563	oboInOwl:hasExactSynonym	anion
WARN	duplicate_label_synonym	CHEBI:23367	oboInOwl:hasExactSynonym	molecular entity
WARN	duplicate_label_synonym	CHEBI:24431	oboInOwl:hasExactSynonym	chemical entity
WARN	duplicate_label_synonym	CHEBI:24833	oboInOwl:hasExactSynonym	oxoacid
WARN	duplicate_label_synonym	CHEBI:24866	oboInOwl:hasExactSynonym	salt
WARN	duplicate_label_synonym	CHEBI:24870	oboInOwl:hasExactSynonym	ion
WARN	duplicate_label_synonym	CHEBI:24873	oboInOwl:hasExactSynonym	iron molecular entity
WARN	duplicate_label_synonym	CHEBI:25367	oboInOwl:hasExactSynonym	molecule
WARN	duplicate_label_synonym	CHEBI:25741	oboInOwl:hasExactSynonym	oxide
WARN	duplicate_label_synonym	CHEBI:25806	oboInOwl:hasExactSynonym	oxygen molecular entity
WARN	duplicate_label_synonym	CHEBI:26835	oboInOwl:hasExactSynonym	sulfur molecular entity
WARN	duplicate_label_synonym	CHEBI:26836	oboInOwl:hasExactSynonym	sulfuric acid
WARN	duplicate_label_synonym	CHEBI:28938	oboInOwl:hasExactSynonym	ammonium
WARN	duplicate_label_synonym	CHEBI:33250	oboInOwl:hasExactSynonym	atom
WARN	duplicate_label_synonym	CHEBI:33302	oboInOwl:hasExactSynonym	pnictogen molecular entity
WARN	duplicate_label_synonym	CHEBI:33303	oboInOwl:hasExactSynonym	chalcogen
WARN	duplicate_label_synonym	CHEBI:33304	oboInOwl:hasExactSynonym	chalcogen molecular entity
WARN	duplicate_label_synonym	CHEBI:33482	oboInOwl:hasExactSynonym	sulfur oxoanion
WARN	duplicate_label_synonym	CHEBI:33484	oboInOwl:hasExactSynonym	chalcogen oxoacid
WARN	duplicate_label_synonym	CHEBI:33485	oboInOwl:hasExactSynonym	chalcogen oxoanion
WARN	duplicate_label_synonym	CHEBI:33582	oboInOwl:hasExactSynonym	carbon group molecular entity
WARN	duplicate_label_synonym	CHEBI:33674	oboInOwl:hasExactSynonym	s-block molecular entity
WARN	duplicate_label_synonym	CHEBI:33676	oboInOwl:hasExactSynonym	d-block molecular entity
WARN	duplicate_label_synonym	CHEBI:33744	oboInOwl:hasExactSynonym	iron group molecular entity
WARN	duplicate_label_synonym	CHEBI:33839	oboInOwl:hasExactSynonym	macromolecule
WARN	duplicate_label_synonym	CHEBI:35107	oboInOwl:hasExactSynonym	azane
WARN	duplicate_label_synonym	CHEBI:35406	oboInOwl:hasExactSynonym	oxoanion
WARN	duplicate_label_synonym	CHEBI:35881	oboInOwl:hasExactSynonym	pnictogen hydride
WARN	duplicate_label_synonym	CHEBI:36359	oboInOwl:hasExactSynonym	phosphorus oxoacid derivative
WARN	duplicate_label_synonym	CHEBI:36916	oboInOwl:hasExactSynonym	cation
WARN	duplicate_label_synonym	CHEBI:36962	oboInOwl:hasExactSynonym	organochalcogen compound
WARN	duplicate_label_synonym	CHEBI:36963	oboInOwl:hasExactSynonym	organooxygen compound
WARN	duplicate_label_synonym	CHEBI:46662	oboInOwl:hasExactSynonym	mineral
WARN	duplicate_label_synonym	ENVO:00002003	oboInOwl:hasExactSynonym	fecal material
WARN	duplicate_label_synonym	FOODON:00001059	oboInOwl:hasExactSynonym	apple juice@en
WARN	duplicate_label_synonym	PATO:0001598	oboInOwl:hasExactSynonym	protruding
WARN	duplicate_label_synonym	PO:0005679	oboInOwl:hasExactSynonym	epidermis
WARN	duplicate_label_synonym	UBERON:0000025	oboInOwl:hasExactSynonym	tube
WARN	duplicate_label_synonym	UBERON:0000463	oboInOwl:hasExactSynonym	organism substance
WARN	duplicate_label_synonym	UBERON:0000485	oboInOwl:hasExactSynonym	simple columnar epithelium
WARN	duplicate_label_synonym	UBERON:0001004	oboInOwl:hasExactSynonym	respiratory system
WARN	duplicate_label_synonym	UBERON:0001015	oboInOwl:hasExactSynonym	musculature
WARN	duplicate_label_synonym	UBERON:0001768	oboInOwl:hasExactSynonym	uvea
WARN	duplicate_label_synonym	UBERON:0002020	oboInOwl:hasExactSynonym	gray matter
WARN	duplicate_label_synonym	UBERON:0002091	oboInOwl:hasExactSynonym	appendicular skeleton
WARN	duplicate_label_synonym	UBERON:0002285	oboInOwl:hasExactSynonym	telencephalic ventricle
