?label	?subset	?definition	?URI
"cirrus homogenitus cloud"	"envoAtmo"	"A cloud which is cirriform and is formed by condensation events centred on an aircraft's contrail."	"http://purl.obolibrary.org/obo/ENVO_01001159"
"saline water environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by saline water."	"http://purl.obolibrary.org/obo/ENVO_01000307"
"temperate mixed forest biome"	"wwfBiome"	"A temperate mixed forest in which dominant ecological communities have reached their climax successional state."	"http://purl.obolibrary.org/obo/ENVO_01000212"
"mediterranean savanna biome"	"wwfBiome"	"A savanna biome which is subject to mediterranean climate patterns."	"http://purl.obolibrary.org/obo/ENVO_01000229"
"aerobic respiration, using ferrous ions as electron donor"	"envoPolar"		"http://purl.obolibrary.org/obo/GO_0019411"
"shoot axis"	"http://purl.obolibrary.org/obo/po#Angiosperm"	"A plant axis (PO:0025004) that is part of a shoot system (PO:0009006)."	"http://purl.obolibrary.org/obo/PO_0025029"
"phosphorous cycling"	"envoPolar"	"A biogeochemical cycle which has phosphorous-bearing chemical entities as participants."	"http://purl.obolibrary.org/obo/ENVO_01001332"
"debris flow"	"environmental_hazards"	"A mass wasting flow during which water-laden masses of soil and fragmented rock rush down the slopes of elevations, funnel into stream channels, entrain objects in their paths, and form thick, muddy deposits on valley floors."	"http://purl.obolibrary.org/obo/ENVO_01000698"
"quality of a foam"	"envoPlastics"	"A physical quality which inheres in a liquid or solid bearer by virtue of that bearer trapping a gas in a colloidal suspension throughout its volume."	"http://purl.obolibrary.org/obo/ENVO_06105019"
"electromagnetic radiation"	"environmental_hazards"	"A radiation process during which waves (or their quanta, photons) of the electromagnetic field propagate (radiate) through space carrying electromagnetic energy."	"http://purl.obolibrary.org/obo/ENVO_01001026"
"temperature of sea surface"	"envoMarine"	"A water temperature which inheres in water close to the surface of an ocean or sea."	"http://purl.obolibrary.org/obo/ENVO_04000002"
"sterile water environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by sterile water."	"http://purl.obolibrary.org/obo/ENVO_01001042"
"outer space"	"envoAstro"	"Outer space is a hard vacuum containing a low density of particles, predominantly a plasma of hydrogen and helium as well as electromagnetic radiation, magnetic fields, neutrinos, dust and cosmic rays that exists between celestial bodies."	"http://purl.obolibrary.org/obo/ENVO_01000637"
"marine neritic benthic zone biome"	"envoPolar"	"The marine neritic zone biome comprises sea floor from the high tide mark to a continental shelf break. This zone generally extends to 200 m below average sea level."	"http://purl.obolibrary.org/obo/ENVO_01000025"
"area of developed space with high usage intensity"	"nlcd2011"	"An area of developed space used for high intensity purposes such as accommodating dense and multi-occupant residential, commercial, and industrial units. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000886"
"environmental system determined by an organism"	"envoOmics"	"An environmental system which is determined by a living organism."	"http://purl.obolibrary.org/obo/ENVO_01001000"
"winter blizzard"	"envoCryo"	"A blizzard which occurs in winter."	"http://purl.obolibrary.org/obo/ENVO_03000136"
"fungi-associated environment"	"envoEmpo"	"An environmental system determined by a fungal structure."	"http://purl.obolibrary.org/obo/ENVO_01001041"
"depth of water ice"	"envoCryo"	"The depth of some water ice."	"http://purl.obolibrary.org/obo/ENVO_03400017"
"floeberg"	"envoPolar"	"An ice mass which is composed of a large amount of sea ice in the form of a hummock or a group of such hummocks, frozen together and separated from any surrounding ice by sea water."	"http://purl.obolibrary.org/obo/ENVO_01001535"
"tropical storm"	"environmental_hazards"	"A an atmospheric storm which originates over tropical or subtropical waters and possesses a warm-core, non-frontal synoptic-scale cyclone with a low pressure centre, spiral rain bands and strong winds."	"http://purl.obolibrary.org/obo/ENVO_01001296"
"brush fire"	"environmental_hazards"	"A land fire which consumes low-growing plants such as scrub and brush."	"http://purl.obolibrary.org/obo/ENVO_01001289"
"ice cap dome"	"envoPolar"	"A comparatively elevated area on an icecap."	"http://purl.obolibrary.org/obo/ENVO_00000342"
"non-saline aerosol environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by an aerosol with a low concentration of dissolved solutes."	"http://purl.obolibrary.org/obo/ENVO_01001054"
"concentration of carbon dioxide in an atmosphere"	"envoNceas"	"The concentration of carbon dioxide when measured in air that is part of an atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001865"
"marine benthic biome"	"envoPolar"	"The marine benthic biome (benthic meaning 'bottom') encompasses the seafloor and includes such areas as shores, littoral or intertidal areas, marine coral reefs, and the deep seabed."	"http://purl.obolibrary.org/obo/ENVO_01000024"
"air"	"envoPolar"	"The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth."	"http://purl.obolibrary.org/obo/ENVO_00002005"
"marine channel"	"envoPolar"	"A channel of a watercourse which contains marine water."	"http://purl.obolibrary.org/obo/ENVO_00000396"
"area of tundra"	"envoPolar"	"A vegetated area which is part of a tundra ecosystem."	"http://purl.obolibrary.org/obo/ENVO_00000112"
"mass gaseous flow"	"envoAtmo"	"A process whereby a large volume of gas moves due to a disequilibrium of physical forces."	"http://purl.obolibrary.org/obo/ENVO_01000792"
"synthetic plastic"	"envoPolar"	"A plastic which is composed primarily of polymers produced by a manufacturing process."	"http://purl.obolibrary.org/obo/ENVO_06105112"
"wet pitfall trap"	"envoCesab"	"A pitfall trap in which the container used to hold trapped animals is filled with a liquid solution formulated to hold, kill, and preserve any animal or animals which falls within it."	"http://purl.obolibrary.org/obo/ENVO_01000978"
"macroplastic particle"	"envoPlastics"	"A piece of plastic which is between 25 and 1000 millimetres in its longest dimension."	"http://purl.obolibrary.org/obo/ENVO_06105103"
"oceanic zone"	"envoPolar"	"The water mass of an ocean that is not above a continental shelf."	"http://purl.obolibrary.org/obo/ENVO_00000207"
"snowstorm"	"envoPolar"	"An atmospheric storm during which intense snowfall occurs."	"http://purl.obolibrary.org/obo/ENVO_01000881"
"foehn wind"	"envoAtmo"	"A downslope katabatic wind during which warm, dry atmospheric gas descends along the lee side of a mountain range as a result of synoptic-scale, cross-barrier flow over that range."	"http://purl.obolibrary.org/obo/ENVO_01001722"
"polyester polymer"	"envoPlastics"		"http://purl.obolibrary.org/obo/CHEBI_60160"
"ultraviolet stellar radiation"	"envoAstro"	"A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths between 10 nm and 400 nm."	"http://purl.obolibrary.org/obo/ENVO_01001216"
"ingestion"	"envoPlastics"	"A feeding behavior during which material is taken into the body of an organism."	"http://purl.obolibrary.org/obo/ENVO_06105020"
"slab avalanche"	"environmental_hazards"	"A mass wasting process during which slab snow rapidly moves down a sloping surface."	"http://purl.obolibrary.org/obo/ENVO_03000105"
"sea ice variability"	"envoEOVs"	"A variability quality which inheres in sea ice, particularly in its concentration, area and extent, type, motion, deformation, age, thickness, and volume."	"http://purl.obolibrary.org/obo/ENVO_01001375"
"tabular iceberg"	"envoPolar"	"An iceberg which 1) has a flat upper surface, 2) is derived from an ice shelf, ice tongue, or floating tidewater glacier via detachment."	"http://purl.obolibrary.org/obo/ENVO_01001534"
"upper air"	"envoAtmo"	"An air mass which is part of the free atmosphere, including the troposphere and stratosphere."	"http://purl.obolibrary.org/obo/ENVO_01001711"
"concentration of carbon dioxide in soil"	"envoNceas"	"The concentration of carbon dioxide when measured in soil."	"http://purl.obolibrary.org/obo/ENVO_04000003"
"rhizosphere environment"	"envoEmpo"	"An environmental system determined by the presence of a plant rhizosphere."	"http://purl.obolibrary.org/obo/ENVO_01000999"
"non-saline planetary subsurface environment"	"envoMeo"	"An environmental system which has its properties and dynamics determined by those parts of a planetary subsurface zone which are not saline."	"http://purl.obolibrary.org/obo/ENVO_01001047"
"siliceous ooze"	"envoPolar"	"Siliceous ooze is a marine sediment composed of the debris of plankton with silica shells, such as diatoms and radiolaria. This ooze is limited to areas with high biological productivity, such as the polar oceans, and upwelling zones near the equator. The least common type of sediment, it covers only 15% of the ocean floor. It accumulates at a slower rate than calcareous ooze: 0.2-1 cm / 1000 yr."	"http://purl.obolibrary.org/obo/ENVO_02000044"
"plastic fragment"	"envoPlastics"	"A piece of plastic which 1) is hard, 2) has an irregular shape, and 3) has broken off of a larger piece of plastic."	"http://purl.obolibrary.org/obo/ENVO_06105008"
"estuarine open water pycnocline"	"envoMarine"	"A pycnocline which is part of an estuarine water body, spanning from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast."	"http://purl.obolibrary.org/obo/ENVO_01001323"
"slush ice"	"envoPolar"	"A slurry of frazil, snow, and liquid water."	"http://purl.obolibrary.org/obo/ENVO_03000076"
"icestorm"	"environmental_hazards"	"An atmospheric storm during which freezing rain falls and accumulates as ice on exposed surfaces."	"http://purl.obolibrary.org/obo/ENVO_01000882"
"wet snow avalanche"	"environmental_hazards"	"An avalanche during which a suspension of water and snow flows down a sloping surface."	"http://purl.obolibrary.org/obo/ENVO_03000107"
"urban pollution"	"environmental_hazards"	"A pollution process that results in increased levels of pollutants in an urban environment."	"http://purl.obolibrary.org/obo/ENVO_02500044"
"marine layer"	"envoMarine"	"A layer that is part of a marine water body."	"http://purl.obolibrary.org/obo/ENVO_01000295"
"environment determined by a metazoan secretion"	"envoOmics"	"An environmental system which has its properties and dynamics determined by a bodily secretion of a metazoan."	"http://purl.obolibrary.org/obo/ENVO_01001030"
"key biodiversity area"	"envoPolar"	"An environmental zone which contains, as determined by an officially mandated selection process, one or more ecosystems which include, as parts, ecological communities of global significance for conservation due to their vulnerability and irreplaceability."	"http://purl.obolibrary.org/obo/ENVO_01000778"
"estuarine tidal riverine coastal pycnocline"	"envoCmecs"	"An estuarine coastal pycnocline which is composed primarily of fresh tidal water."	"http://purl.obolibrary.org/obo/ENVO_01001324"
"pingo"	"envoPolar"	"A mound of earth-covered ice found in the Arctic, subarctic, and Antarctica that can reach up to 70 metres in height and up to 2 kilometres in diameter."	"http://purl.obolibrary.org/obo/ENVO_00000413"
"glacial ice ablation process"	"envoPolar"	"An ice loss process which occurs in the low-altitude area of a glacier or ice sheet below the firn layer."	"http://purl.obolibrary.org/obo/ENVO_01000919"
"area of barren land"	"nlcd2011"	"An area of a planet's surface which is primarily composed of bedrock, desert pavement, scarp rock, talus, material exposed by slides, volcanic material, glacial debris, sand, material exposed during strip mining, gravel, and other accumulations of earthen material in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000752"
"atmospheric aerosol formation"	"envoAtmo"	"An aerosol formation process which occurs in an atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001085"
"aerosol environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by an aerosol."	"http://purl.obolibrary.org/obo/ENVO_01001052"
"cryoconite hole"	"envoPolar"	"A vertical thaw hole within an ice mass, formed as a result of ice melt associated with local temperature increases, due to increased absorption of solar radiation by cryoconite deposits."	"http://purl.obolibrary.org/obo/ENVO_03000039"
"piece of plastic"	"envoPlastics"	"A mass of solid material which is primarily composed of plastic."	"http://purl.obolibrary.org/obo/ENVO_01000776"
"ice-covered lake"	"envoPolar"	"A lake permanently covered by ice."	"http://purl.obolibrary.org/obo/ENVO_00000198"
"dwarf planet"	"envoAstro"	"An astronomical body which is in direct orbit of a star and is massive enough for its own gravity to compress it into a shape preserved by hydrostatic equilibrium (usually a spheroid), but which shares its orbit with other bodies, such as asteroids or comets."	"http://purl.obolibrary.org/obo/ENVO_01000808"
"estuarine tidal riverine coastal lower water column"	"envoCmecs"	"A layer of fresh estuarine water which extends from an estuarine pycnocline or mid-depth to the estuarine bed and from the land-water interface to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."	"http://purl.obolibrary.org/obo/ENVO_01001325"
"polar desert biome"	"envoPolar"	"A polar desert biome is a desert biome which is subject to low levels of insolation, annual precipitation less than 250 millimeters, and a mean temperature less than 10 degrees Celsius during its warmest month. Temperature changes in polar deserts frequently cross the freezing point of water."	"http://purl.obolibrary.org/obo/ENVO_01000186"
"altostratus cloud"	"envoAtmo"	"A cloud which 1) occurs in the form of a striated, fibrous, or uniform sheet or layer, 2) is composed of water droplets and ice crystals, 3) is located in the middle level of the atmosphere (middle étage)."	"http://purl.obolibrary.org/obo/ENVO_01001410"
"obsolete organism-associated habitat"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"A habitat that is in or on a living thing."	"http://purl.obolibrary.org/obo/ENVO_00002032"
"illuminated biosphere part"	"envoPolar"	"An astronomical body part which includes those parts of a biosphere that are, at least periodically, illuminated and in which photosynthesis may occur."	"http://purl.obolibrary.org/obo/ENVO_01000823"
"gamma-ray stellar radiation"	"environmental_hazards"	"A stellar radiation process during which penetrating electromagnetic radiation is emitted from the radioactive decay (gamma decay) of atomic nuclei."	"http://purl.obolibrary.org/obo/ENVO_01001218"
"atmospheric escape"	"envoAstro"	"A process during which gases that constitute a planetary atmosphere escape that planet's gravitational field and move away into outer space."	"http://purl.obolibrary.org/obo/ENVO_01001157"
"frost heave"	"envoPolar"	"An elevation which is formed as an ice mass forms under soil, resulting in upwards deformation of the land surface."	"http://purl.obolibrary.org/obo/ENVO_01001568"
"animal-associated environment"	"envoEmpo"	"An environmental system determined by an animal."	"http://purl.obolibrary.org/obo/ENVO_01001002"
"downslope katabatic wind"	"envoAtmo"	"A katabatic wind during which atmospheric gas flows down the slope of an elevation, typically during periods of light larger-scale winds."	"http://purl.obolibrary.org/obo/ENVO_01001720"
"terrestrial planet"	"envoAstro"	"A planet that is composed primarily of silicate rocks or metals."	"http://purl.obolibrary.org/obo/ENVO_01000958"
"subtropical coniferous forest biome"	"wwfBiome"	"A coniferous forest biome which is subject to subtropical climate patterns."	"http://purl.obolibrary.org/obo/ENVO_01000209"
"sea surface height"	"envoMarine"	"A elevation quality which inheres in a marine water body by virtue of the position of that water body's surface layer (adjacent to an atmosphere) relative to some reference elevation."	"http://purl.obolibrary.org/obo/ENVO_01001377"
"montane shrubland biome"	"wwfBiome"	"A montane shrubland biome is a shrubland biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions."	"http://purl.obolibrary.org/obo/ENVO_01000216"
"estuarine tidal riverine open water surface layer"	"envoCmecs"	"A layer of fresh, tidal estuarine water which extends a few centimeters from the surface of the water column towards the estuary bed and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast."	"http://purl.obolibrary.org/obo/ENVO_01001326"
"dwarf gas planet"	"envoAstro"	"A gas planet which 1) is considerably smaller than a gas giant and 2) has a rocky core around which a thick envelope primarily composed of hydrogen, helium, and smaller proportions of volatiles."	"http://purl.obolibrary.org/obo/ENVO_01001123"
"freezing"	"envoPolar"	"A material congelation process during which a liquid turns into a solid when its temperature is lowered below its melting point."	"http://purl.obolibrary.org/obo/ENVO_01001548"
"snow layer"	"envoCryo"	"A cryospheric layer which is primarily composed of snow."	"http://purl.obolibrary.org/obo/ENVO_03000141"
"area of developed open space"	"nlcd2011"	"An area of a planet's surface which is primarily covered by cultivated or anthropically maintained vegetation planted for recreation, erosion control, or aesthetic purposes interspersed by constructed or manufactured objects and materials. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000883"
"concentration of carbon dioxide in an atmosphere"	"envoAtmo"	"The concentration of carbon dioxide when measured in air that is part of an atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001865"
"hailstorm"	"envoAtmo"	"An atmospheric storm during which intense hailfall occurs"	"http://purl.obolibrary.org/obo/ENVO_01000880"
"recycling process"	"envoPlastics"	"A process during which materials deemed as waste are separated and converted into a form which can be used as input by the same processes which generated them."	"http://purl.obolibrary.org/obo/ENVO_01000741"
"fjord lake"	"envoPolar"	"A lake in a glacially eroded valley, which has been eroded below sea level."	"http://purl.obolibrary.org/obo/ENVO_00000201"
"synthetic plastic"	"envoPlastics"	"A plastic which is composed primarily of polymers produced by a manufacturing process."	"http://purl.obolibrary.org/obo/ENVO_06105112"
"subtropical grassland biome"	"wwfBiome"	"A subtropical grassland in which dominant ecological communities have reached their climax successional state."	"http://purl.obolibrary.org/obo/ENVO_01000191"
"aerobic respiration, using nitrite as electron donor"	"envoPolar"		"http://purl.obolibrary.org/obo/GO_0019332"
"fumarole-derived ice tower"	"envoPolar"	"A hollow tower of ice formed by the freezing of steam escaping a fumarole."	"http://purl.obolibrary.org/obo/ENVO_01000754"
"ground moraine"	"envoPolar"	"A till covered area with irregular topography and no ridges, often forming gently rolling hills or plains. Forms by the accumulation of till under the ice by lodgement, but may also be deposited as the glacier retreats."	"http://purl.obolibrary.org/obo/ENVO_00000251"
"active permafrost layer"	"envoNceas"	"A layer which is composed of ground that is 1) subject to annual thawing and freezing and 2) present in areas underlain by permafrost."	"http://purl.obolibrary.org/obo/ENVO_04000009"
"environment determined by a plant substance"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by a substance produced by a plant."	"http://purl.obolibrary.org/obo/ENVO_01001031"
"marine nutricline"	"envoPolar"	"A nutricline which is part of a marine water body."	"http://purl.obolibrary.org/obo/ENVO_01000078"
"oceanic crust"	"envoPolar"	"Oceanic crust is the uppermost layer of the oceanic portion of a tectonic plate."	"http://purl.obolibrary.org/obo/ENVO_01000749"
"lake inlet"	"envoPolar"	"An opening of a lake into its shore."	"http://purl.obolibrary.org/obo/ENVO_00000476"
"freshwater environment"	"envoEmpo"	"An aquatic environment which is determined by freshwater."	"http://purl.obolibrary.org/obo/ENVO_01000306"
"plant epidermis"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A portion of plant tissue (PO:0009007) composed of plant epidermal cells (PO:0004013) that develops from the protoderm (PO:0006210) and covers the surface of a plant structure (PO:0009011)."	"http://purl.obolibrary.org/obo/PO_0005679"
"small river biome"	"wwfBiome"	"A freshwater river biome which is determined by a small river."	"http://purl.obolibrary.org/obo/ENVO_00000890"
"fishing"	"envoPlastics"	"A planned environmental usage process during which any number of fish are caught by humans or their technologies."	"http://purl.obolibrary.org/obo/ENVO_06105113"
"shoot axis apex"	"http://purl.obolibrary.org/obo/po#reference"	"A shoot axis (PO:0025029) that is the most distal part of a shoot system (PO:0009006) and has as parts a shoot apical meristem (PO:0020148) and the youngest primordia (PO:0025127)."	"http://purl.obolibrary.org/obo/PO_0000037"
"ground blizzard"	"environmental_hazards"	"A ground blizzard is a storm during which snow which has settled on a planetary surface is resuspended in and transported through its atmosphere by strong winds, sustained for several hours."	"http://purl.obolibrary.org/obo/ENVO_01000904"
"mega-Earth"	"envoAstro"	"A terrestrial exoplanet which is at least ten times the mass of Earth."	"http://purl.obolibrary.org/obo/ENVO_01001133"
"mountain pass"	"envoPolar"	"A lower point that allows easier access through a mountain range. A pass has the general form of a saddle between two mountains."	"http://purl.obolibrary.org/obo/ENVO_00000084"
"NSIDC blizzard"	"envoPolar"	"A blizzard which has 1) winds of 35 miles per hour (approximately 56 kilometers per hour), 2) lasts for a period of at least three hours, and 3) occurs in extremely cold temperatures."	"http://purl.obolibrary.org/obo/ENVO_03000135"
"environment determined by a biofilm on a fungal surface"	"envoMeo"	"An environmental system which has its properties and dynamics determined by a biofilm on the surface of a fungus."	"http://purl.obolibrary.org/obo/ENVO_01001035"
"planet"	"envoAstro"	"A planet is an astronomical body orbiting a star or stellar remnant that is massive enough to be rounded by its own gravity, is not massive enough to cause thermonuclear fusion, and has cleared its neighbouring region of planetesimals."	"http://purl.obolibrary.org/obo/ENVO_01000800"
"solar rainbow"	"envoAtmo"	"A solar rainbow is a rainbow produced by the refraction of light. which has been emitted by a star, by water droplets in the atmosphere of an astronomical body."	"http://purl.obolibrary.org/obo/ENVO_01001007"
"frazil"	"envoPolar"	"Small, needle-like (spicules), plate-like, or discoid crystals derived from nearly pure fresh water, suspended in a water body."	"http://purl.obolibrary.org/obo/ENVO_01001523"
"thermoplasticity"	"envoPlastics"	"A disposition inhering in a bearer by virtue of that bearer's ability to, repeatedly, become plastic on heating and harden again on cooling."	"http://purl.obolibrary.org/obo/ENVO_06105002"
"biopolymer"	"envoPlastics"	"A polymer which is the output of a biological process."	"http://purl.obolibrary.org/obo/ENVO_06105122"
"explosive eruption"	"environmental_hazards"	"An explosive eruption is a volcanic process in which pressurised magma is violently expelled and froths into volcanic ash. Explosive eruptions can eject a cloud of rocks, dust, gas, and pyroclastic material  which may then collapse, creating a pyroclastic flow of hot volcanic matter."	"http://purl.obolibrary.org/obo/ENVO_01000655"
"astrogeological ice"	"envoAstro"	"An astrogeological volatile which is composed primarily of chemical compounds with freezing points above an approximate threshold of 100 Kelvin."	"http://purl.obolibrary.org/obo/ENVO_01001126"
"single strain cell culture"	"envoOmics"	"A cell culture which is composed of a single population of bacterial or archaeal cells."	"http://purl.obolibrary.org/obo/ENVO_01001060"
"air pollution"	"environmental_hazards"	"A pollution process during which particulates or other contaminants are released into a portion of air."	"http://purl.obolibrary.org/obo/ENVO_02500037"
"grass fire"	"environmental_hazards"	"A fire which occurs in a grassland, combusting biomass stored in grasses as its primary fuel."	"http://purl.obolibrary.org/obo/ENVO_03000131"
"mass wasting"	"environmental_hazards"	"Mass wasting is the geomorphic process by which solid environmental material such as soil, sand, regolith, and/or rock move downslope typically as a mass, largely under the force of gravity, but frequently affected by water and water content as in submarine environments and mudslides."	"http://purl.obolibrary.org/obo/ENVO_01000690"
"soil surface layer"	"envoNceas"	"A surface layer which is composed primarily of soil."	"http://purl.obolibrary.org/obo/ENVO_04000010"
"obsolete food product"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"		"http://purl.obolibrary.org/obo/ENVO_00002002"
"freezing fog"	"envoCryo"	"A fog the droplets of which freeze upon contact with exposed objects, forming a coating of rime or glaze."	"http://purl.obolibrary.org/obo/ENVO_03000137"
"meteoroid"	"envoAstro"	"An astronomical body which is composed of rocky or metallic materials and is considerably smaller than asteroids."	"http://purl.obolibrary.org/obo/ENVO_01001068"
"synthetic polymer"	"envoPlastics"	"A polymer which is the output of a manufacturing process."	"http://purl.obolibrary.org/obo/ENVO_06105123"
"mesoplastic particle"	"envoPlastics"	"A piece of plastic which is between 5 and 25 millimetres in its longest dimension."	"http://purl.obolibrary.org/obo/ENVO_06105104"
"tidal flow process"	"envoCmecs"	"A water flow process during which movements of water masses caused by varying gravitational and rotational forces from astronomical bodies, combined with the rotation of the astronomical body containing the water mass, cause waters to undergo periodic depth oscillations (tides)."	"http://purl.obolibrary.org/obo/ENVO_01001342"
"active geological fault"	"environmental_hazards"	"An active fault is a fault that is likely to become the source of another earthquake sometime in the future. Geologists commonly consider faults to be active if there has been movement observed or evidence of seismic activity during the last 10,000 years."	"http://purl.obolibrary.org/obo/ENVO_01000669"
"megaplastic particle"	"envoPlastics"	"A piece of plastic which is greater than 1 metre in its longest dimension."	"http://purl.obolibrary.org/obo/ENVO_06105102"
"intercloud lightning"	"environmental_hazards"	"A lightning process during which electrostatic discharge occurs between at least two clouds."	"http://purl.obolibrary.org/obo/ENVO_01000899"
"protoplanet"	"envoAstro"	"An astronomical object that forms within a protoplanetary disc when planetesimals and other solid debris aggregate and, due to gravitational forces,  fuse and initiate internal melting to produce a differentiated interior."	"http://purl.obolibrary.org/obo/ENVO_01001149"
"cryopeg"	"envoNceas"	"A layer which is composed of ground that 1) remains unfrozen due to increased solute concentration and 2) is present within a mass of permafrost."	"http://purl.obolibrary.org/obo/ENVO_01001559"
"sleet pellet"	"envoCryo"	"An ice mass which is primarily composed of frozen or mostly frozen raindrops or refrozen partially melted snowflakes."	"http://purl.obolibrary.org/obo/ENVO_03400015"
"atmospheric water vapour"	"envoPolar"	"Atmospheric water vapour is water vapour that is part of an atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01000268"
"planetary photic zone"	"envoPolar"	"A planetary part which is exposed, at least periodically, to light."	"http://purl.obolibrary.org/obo/ENVO_01000822"
"medial moraine"	"envoPolar"	"A moriane formed when the inside lateral moraines of two glaciers merge together. They form a ridge down the center of the combined glaciers."	"http://purl.obolibrary.org/obo/ENVO_00000250"
"area of perennial water ice"	"nlcd2011"	"An area of a planet's surface which is primarily composed of water ice, present throughout multiple years, in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000740"
"ice rise"	"envoPolar"	"An ice rise is an elevation which is part of an ice shelf, typically dome shared, and formed by the ice shelf overriding an obstruction in the seabed. An ice rise may be adjacent only to an ice shelf, or to an ice shelf and a sea. For some features, properly ice rises, the term island has become established through usage."	"http://purl.obolibrary.org/obo/ENVO_00009686"
"young ice"	"envoPolar"	"A sea ice floe which is inflexible and thicker than nilas."	"http://purl.obolibrary.org/obo/ENVO_03000069"
"cryosphere"	"envoCryo"	"An astronomical body part which is composed primarily of environmental materials in their frozen form."	"http://purl.obolibrary.org/obo/ENVO_03000143"
"tundra mire"	"envoPolar"	"Peatlands with a shallow peat layer, only about 500 mm thick, dominated by sedges and grasses. They form in permafrost areas, covering around 110,000 to 160,000 km2 in Alaska, Canada, and the former USSR."	"http://purl.obolibrary.org/obo/ENVO_00000187"
"planetary subsurface environment"	"envoMeo"	"An environmental system which has its properties and dynamics determined by the subsurface zone of a planet."	"http://purl.obolibrary.org/obo/ENVO_01001046"
"flooding"	"environmental_hazards"	"A general and temporary condition of partial or complete inundation of normally dry land areas from the overflow of inland and/or tidal waters, and/or the unusual and rapid accumulation or runoff of surface waters from any source. A great flow along a watercourse or a flow causing inundation of lands not normally covered by water."	"http://purl.obolibrary.org/obo/ENVO_02500002"
"cirque"	"envoPolar"	"A depression which is semicircular or crescent-shaped, found towards the crest of a mountain, and formed by the erosional processes caused by the motion of a glacier."	"http://purl.obolibrary.org/obo/ENVO_00000155"
"snowfall"	"envoPolar"	"A hydrological process in which irregular aggregates of snow fall to the surface of an astronomical body."	"http://purl.obolibrary.org/obo/ENVO_01000895"
"ice fog"	"envoCryo"	"Fog which is composed of particles of ice."	"http://purl.obolibrary.org/obo/ENVO_03000139"
"subtropical savanna biome"	"wwfBiome"	"A savanna biome which is subject to subtropical climate patterns."	"http://purl.obolibrary.org/obo/ENVO_01000187"
"ice floe"	"envoPolar"	"An ice mass which forms a cohesive and contiguous sheet of water ice, floating upon the surface of a water body."	"http://purl.obolibrary.org/obo/ENVO_03000065"
"inorganic macronutrient dissolved in ocean water"	"envoMarine"	"A macronutrient role which inheres in nitrate, nitrogen dioxide, ammonium, silicon, or phosphate dissolved in ocean water."	"http://purl.obolibrary.org/obo/ENVO_01001496"
"environmental pollution"	"environmental_hazards"	"An environmental system process that results in the introduction of contaminants into an environment."	"http://purl.obolibrary.org/obo/ENVO_02500036"
"semi-diurnal marine tidal flow process"	"envoCmecs"	"A marine tidal flow process which occurs twice per day, resulting in two high and two low tides per day, both of roughly equal amplitude."	"http://purl.obolibrary.org/obo/ENVO_01001343"
"estuarine open water lower water column"	"envoMarine"	"A layer of estuarine water which extends from an estuarine pycnocline or mid-depth to the estuary bed and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters to end of the estuary most distal from the coast."	"http://purl.obolibrary.org/obo/ENVO_01001322"
"thermoset polymer"	"envoPlastics"	"A polymer which has been irreversibly hardened by heat-induced curing."	"http://purl.obolibrary.org/obo/ENVO_06105005"
"effusive eruption"	"environmental_hazards"	"An effusive eruption is a volcanic eruption during which lava flows onto the ground."	"http://purl.obolibrary.org/obo/ENVO_01000656"
"sound"	"envoPolar"	"A large sea or ocean inlet larger than a bay, deeper than a bight, wider than a fjord, or it may identify a narrow sea or ocean channel between two bodies of land."	"http://purl.obolibrary.org/obo/ENVO_00000393"
