?label	?subset	?definition	?URI
"carbon sequestration by the ocean carbonate system"	"envoNceas"	"A carbon sequestration process during which carbon dioxide is stored in the carbonate system of an ocean."	"http://purl.obolibrary.org/obo/ENVO_04000018"
"saline aerosol environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by a saline aerosol."	"http://purl.obolibrary.org/obo/ENVO_01001053"
"portion of meristem tissue"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A portion of plant tissue (PO:0009007) in which plant cells (PO:0009002) have retained their embryonic characteristics, or have reverted to them secondarily, and that divide to produce new cells that can undergo differentiation to form mature tissues, i.e. they have a capacity for morphogenesis and growth."	"http://purl.obolibrary.org/obo/PO_0009013"
"meteotsunami"	"environmental_hazards"	"A meteotsunami is a tsunami caused by atmospheric processes and differences in air pressure."	"http://purl.obolibrary.org/obo/ENVO_01000715"
"particle radiation"	"environmental_hazards"	"A radiation process during which energy is transmitted or emitted by means of fast-moving subatomic particles."	"http://purl.obolibrary.org/obo/ENVO_01001024"
"ocean"	"envoMarine"	"A marine water body which is constitutes the majority of an astronomical body's hydrosphere."	"http://purl.obolibrary.org/obo/ENVO_00000015"
"particle of snow"	"envoPolar"	"A particle which is 1) primarily compposed of water ice, 2) on the order of 1 milimeter or less, 3) has a white and opaque appearance, and 4) is formed as a result of water droplets freezing during precipitation."	"http://purl.obolibrary.org/obo/ENVO_03000138"
"sea state"	"envoEOVs"	"A physical quality which inheres in a marine water body by virtue of the height, wavelength, period, and directional energy flux of its waves which evolve into swell through nonlinear dynamics."	"http://purl.obolibrary.org/obo/ENVO_01001374"
"sludge"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes."	"http://purl.obolibrary.org/obo/ENVO_00002044"
"cirrocumulus cloud"	"envoCloudAtlas"	"A cloud which 1) has been shaped into structural elements resembling grains or ripples, 2) is almost exclusively composed of ice crystals, 3) is located in the high level of the atmosphere (high étage)."	"http://purl.obolibrary.org/obo/ENVO_01001407"
"area of perennial snow"	"nlcd2011"	"An area of a planet's surface which is primarily composed of snow, present throughout multiple years, in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000745"
"cryopeg"	"envoPolar"	"A layer which is composed of ground that 1) remains unfrozen due to increased solute concentration and 2) is present within a mass of permafrost."	"http://purl.obolibrary.org/obo/ENVO_01001559"
"fungi-associated environment"	"envoMeo"	"An environmental system determined by a fungal structure."	"http://purl.obolibrary.org/obo/ENVO_01001041"
"polynya"	"envoCryo"	"A sea surface layer which is 1) not covered by ice and 2) laterally surrounded by either pack ice or land and pack ice."	"http://purl.obolibrary.org/obo/ENVO_00000484"
"shoot apical meristem"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A shoot system meristem (PO:0006079) formed at the apex of the shoot axis (PO:0025029), including those originating from an axillary bud meristem (PO:0000232)."	"http://purl.obolibrary.org/obo/PO_0020148"
"stratocumulus cloud"	"envoCloudAtlas"	"A cloud which 1) has been shaped into non-fibrous tessellations, rounded masses, or rolls, 2) is primarily composed of water droplets, and may contain raindrops or, more rarely, snow pellets, snow crystals and snowflakes, 3) is located in the low level of the atmosphere (low étage)."	"http://purl.obolibrary.org/obo/ENVO_01001412"
"snow cover"	"envoCryo"	"An area density which inheres in snow distributed over an area of a landmass or other substrate."	"http://purl.obolibrary.org/obo/ENVO_03400003"
"ice pellet"	"envoCryo"	"An ice mass which is 1) transparent or translucent, 2) rounded, spherically, or cylindrically shaped, and 3) less than 5 milimetres in diameter."	"http://purl.obolibrary.org/obo/ENVO_03400005"
"ice tongue"	"envoPolar"	"A long and narrow sheet of ice projecting out from the coastline. An ice tongue forms when a valley glacier moves very rapidly out into the ocean or a lake."	"http://purl.obolibrary.org/obo/ENVO_00000392"
"plant-associated environment"	"envoOmics"	"An environmental system determined by a green plant."	"http://purl.obolibrary.org/obo/ENVO_01001001"
"cryospheric layer"	"envoPolar"	"A layer which is part of a cryosphere."	"http://purl.obolibrary.org/obo/ENVO_01001609"
"bush fire"	"environmental_hazards"	"A land fire which occurs in a large uncleared or sparsely settled area (as in Australia) usually scrub-covered or forested."	"http://purl.obolibrary.org/obo/ENVO_01001290"
"rime"	"envoCryo"	"Water ice which 1) has a white or milky and opaque appearance, 2) has a granular texture, and 3) is formed as a result of the deposition and rapid freezing of supercooled water drops as they make contact with an exposed object."	"http://purl.obolibrary.org/obo/ENVO_01001848"
"hydrosphere"	"envoPolar"	"An astronomical body part which is composed of the combined mass of water found on, under, and over the surface of a planet."	"http://purl.obolibrary.org/obo/ENVO_01000819"
"hydrological melting process"	"envoPolar"	"A melting process during which water-based ice, snow, or other solid phase water transitions into a liquid phase."	"http://purl.obolibrary.org/obo/ENVO_01000720"
"lake"	"envoPolar"	"A body of water or other liquid of considerable size contained in a depression on a landmass."	"http://purl.obolibrary.org/obo/ENVO_00000020"
"water flow process"	"environmental_hazards"	"A material transport process during which a volume of liquid water is transported due to a disequilibria in physical forces."	"http://purl.obolibrary.org/obo/ENVO_01000982"
"secondary aerosol formation process"	"envoAtmo"	"An aerosol formation process during which solid or liquid particles are either 1) formed in a volume of gas through gas-to-liquid or gas-to-solid conversions or 2) increase in size through aggregation with other particles."	"http://purl.obolibrary.org/obo/ENVO_01001368"
"upper front"	"envoAtmo"	"A weather front which is part of a mass of upper air."	"http://purl.obolibrary.org/obo/ENVO_01001713"
"environment associated with a fungal tissue"	"envoOmics"	"An environmental system determined by part of a living or dead fungus."	"http://purl.obolibrary.org/obo/ENVO_01001058"
"vegetated area"	"envoPolar"	"A vegetated area is a geographic feature which has ground cover dominated by plant communities."	"http://purl.obolibrary.org/obo/ENVO_01001305"
"desert biome"	"wwfBiome"	"A desert ecosystem which is undergoing climactic ecological succession."	"http://purl.obolibrary.org/obo/ENVO_01000179"
"environment associated with a plant part or small plant"	"envoOmics"	"An environmental system determined by part of a living or dead plant, or a whole small plant."	"http://purl.obolibrary.org/obo/ENVO_01001057"
"root"	"http://purl.obolibrary.org/obo/po#Tomato"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."	"http://purl.obolibrary.org/obo/PO_0009005"
"glacier"	"envoPolar"	"An ice mass which is of sufficient mass that the action of gravity upon it overcomes the frictional forces holding it in place, causing it to deform and flow towards lower elevation."	"http://purl.obolibrary.org/obo/ENVO_00000133"
"planetary erosion"	"envoPolar"	"An action of exogenic processes (such as water flow or wind) which remove environmental material from one part of a planet's crust, transporting it to another location where it is deposited."	"http://purl.obolibrary.org/obo/ENVO_02500028"
"occluded front"	"envoAtmo"	"A weather front which separates air behind a cold front from air ahead of a warm front."	"http://purl.obolibrary.org/obo/ENVO_01001714"
"neritic mussel bed"	"envoMarine"	"A mussel bed which is located in benthic regions that are part of a continental shelf."	"http://purl.obolibrary.org/obo/ENVO_01001389"
"sodium chloride salt"	"envoPolar"	"A mineral material composed primarily of sodium chloride."	"http://purl.obolibrary.org/obo/ENVO_01000681"
"geological carbon sequestration"	"envoNceas"	"A carbon sequestration process during which carbon dioxide is stored in underground geological formations."	"http://purl.obolibrary.org/obo/ENVO_04000017"
"haze"	"envoAtmo"	"An aersolised mass of dust, smoke, or other dry particulates which scatters visible light thus obsscuring visibility through an atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001402"
"snowpack"	"envoCryo"	"A snow mass which is large enough, and persists long enough, to undergo compaction under its own weight, leading to layer-like structural differentiation."	"http://purl.obolibrary.org/obo/ENVO_03000116"
"hailstorm"	"envoPolar"	"An atmospheric storm during which intense hailfall occurs"	"http://purl.obolibrary.org/obo/ENVO_01000880"
"supraglacial lake"	"envoPolar"	"A water body which is located in a depression within the surface of a glacier."	"http://purl.obolibrary.org/obo/ENVO_03000035"
"plastic"	"envoPlastics"	"An environnmental material which 1) is composed primarily of polymers with high molecular mass and 2) once deformed does not spontaneously return to its original shape."	"http://purl.obolibrary.org/obo/ENVO_06105101"
"glacial abrasion"	"envoPolar"	"A glacial abrasion process is an erosional process during which debris in the basal ice scrapes along the bed, polishing and gouging the underlying rocks, similar to sandpaper on wood."	"http://purl.obolibrary.org/obo/ENVO_01000682"
"glacial sintering"	"envoPolar"	"A sintering process during which snow is compacted into glacial ice."	"http://purl.obolibrary.org/obo/ENVO_03000102"
"shoot axis"	"http://purl.obolibrary.org/obo/po#Arabidopsis"	"A plant axis (PO:0025004) that is part of a shoot system (PO:0009006)."	"http://purl.obolibrary.org/obo/PO_0025029"
"marine photic zone"	"envoMarine"	"The zone of an ocean from the surface to where photosynthesis can occur, due to the penetration of light."	"http://purl.obolibrary.org/obo/ENVO_00000209"
"mouth environment"	"envoMeo"	"An environment that is determined by a mouth."	"http://purl.obolibrary.org/obo/ENVO_08000002"
"geographic basin"	"envoPolar"	"A depression which is part of a planetary crust, is of geographic scale, and is partially or completely enclosed."	"http://purl.obolibrary.org/obo/ENVO_03000015"
"environment determined by a biofilm on a plant surface"	"envoOmics"	"An environmental system which has its properties and dynamics determined by a biofilm on the surface of a plant."	"http://purl.obolibrary.org/obo/ENVO_01001032"
"lightning flash"	"environmental_hazards"	"A lightning process during which electrostatic discharge occurs within a single cloud or between multiple clouds."	"http://purl.obolibrary.org/obo/ENVO_01000902"
"depth of snow"	"envoPolar"	"The depth of some snow."	"http://purl.obolibrary.org/obo/ENVO_09200023"
"planetary subsurface environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by the subsurface zone of a planet."	"http://purl.obolibrary.org/obo/ENVO_01001046"
"Bathymodiolus-dominated oceanic mussel bed"	"envoCmecs"	"An oceanic mussel bed which has mussel communities dominated by members of the genus Bathymodiolus."	"http://purl.obolibrary.org/obo/ENVO_01001390"
"firn"	"envoPolar"	"Granular snow which contains a proportion of fused granules formed through melting and re-thawing while being compacted by the weight of overlying material and which contains interconnected gaseous pores."	"http://purl.obolibrary.org/obo/ENVO_03000002"
"sediment"	"envoPolar"	"Particulate environmental material which is formed as a result of the transport and deposition of particles by flowing liquid."	"http://purl.obolibrary.org/obo/ENVO_00002007"
"estuarine coastal surface layer"	"envoMarine"	"A layer of estuarine water which extends a few centimeters from the surface of the water column towards the estuary bed and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."	"http://purl.obolibrary.org/obo/ENVO_01001302"
"cyclone"	"environmental_hazards"	"An atmospheric storm during which a large mass of atmospheric gas rotates around a centre of low atmospheric pressure, generating high winds which spiral towards that centre."	"http://purl.obolibrary.org/obo/ENVO_01001297"
"slush formation process"	"envoPolar"	"A new ice formation process in which slush ice is formed."	"http://purl.obolibrary.org/obo/ENVO_03000078"
"lost fishing gear"	"envoPlastics"	"Abandoned fishing gear which was unintentionally left unmaintained and uncontrolled by its custodian."	"http://purl.obolibrary.org/obo/ENVO_06105118"
"liquefied hydrocarbon gas"	"envoPolar"		"http://purl.obolibrary.org/obo/ENVO_01000558"
"pelagic isohaline surface"	"envoPolar"	"A roughly planar, pelagic region characterised by equal salinity."	"http://purl.obolibrary.org/obo/ENVO_01000081"
"environment determined by a plant substance"	"envoMeo"	"An environmental system which has its properties and dynamics determined by a substance produced by a plant."	"http://purl.obolibrary.org/obo/ENVO_01001031"
"snow water equivalent"	"envoCryo"	"A depth which inheres in a layer of liquid water derived from the complete melting a mass of snow contained in an area."	"http://purl.obolibrary.org/obo/ENVO_03000142"
"rainstorm"	"environmental_hazards"	"An atmospheric storm during which intense rainfall occurs."	"http://purl.obolibrary.org/obo/ENVO_01000879"
"marine abyssalpelagic zone"	"envoMarine"	"The zone of the ocean below the bathypelagic zone, with its lowest boundary at about 6000m."	"http://purl.obolibrary.org/obo/ENVO_00000212"
"diurnal marine tidal flow zone"	"envoCmecs"	"A marine zone in which ocean waters undergo a diurnal (once per day) tidal oscillation - with one high and one low tide per day - due to the supression of a second daily oscillation by the geometry of the ocean basin and obstructions presented by land masses."	"http://purl.obolibrary.org/obo/ENVO_01001338"
"frost heave"	"envoNceas"	"An elevation which is formed as an ice mass forms under soil, resulting in upwards deformation of the land surface."	"http://purl.obolibrary.org/obo/ENVO_01001568"
"area of developed space with medium usage intensity"	"nlcd2011"	"An area of a planet's surface which is primarily covered by constructed or manufactured objects and materials covering from half to three-forths of its extent and by cultivated or anthropically maintained vegetation. Such areas are used for medium intensity purposes such as accommodating dense collections of single-family residential units. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000885"
"saline sediment environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by sediment permeated by saline water."	"http://purl.obolibrary.org/obo/ENVO_01001050"
"sulphate-reducing sediment"	"envoPolar"	"Sediment hosting and characterised by active sulphate reducing microbial communities."	"http://purl.obolibrary.org/obo/ENVO_01000153"
"blizzard"	"envoCryo"	"A blizzard is a severe snowstorm during which snowfall is transported by strong winds, sustained for several hours."	"http://purl.obolibrary.org/obo/ENVO_01000903"
"carbon dioxide emission process"	"envoPolar"	"A carbon emission process is any environmental process which releases carbon dioxide gas into the atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01000769"
"marine bathypelagic zone"	"envoMarine"	"The one of an ocean below the 10degC thermocline down to a temperature of 4degC."	"http://purl.obolibrary.org/obo/ENVO_00000211"
"atmospheric boundary layer"	"envoPolar"	"The atmospheric boundary layer is the lowest layer of an atmosphere which is strongly influenced by its contact with a planetary surface with strong vertical mixing and in which physical quantities such as flow velocity, temperature, and moisture display rapid fluctuations (turbulence)."	"http://purl.obolibrary.org/obo/ENVO_01000323"
"root"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."	"http://purl.obolibrary.org/obo/PO_0009005"
"marine tidal flow process"	"envoCmecs"	"A tidal flow process which occurs in an ocean or sea and during which tidal movements generate advective flows, often amplified in velocity when moving through an inlet, pass or channel."	"http://purl.obolibrary.org/obo/ENVO_01001333"
"snow"	"envoPolar"	"Snow is an environmental material which is primarily composed of flakes of crystalline water ice."	"http://purl.obolibrary.org/obo/ENVO_01000406"
"environment determined by a biofilm on a fungal surface"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by a biofilm on the surface of a fungus."	"http://purl.obolibrary.org/obo/ENVO_01001035"
"subtropical dry broadleaf forest biome"	"wwfBiome"	"A subtropical dry broadleaf forest in which dominant ecological communities have reached their climax successional state."	"http://purl.obolibrary.org/obo/ENVO_01000225"
