?label	?definition	?exactSynonym	?broadSynonym	?narrowSynonym	?relatedSynonym	?subsetType	?uri
"1,4-dioxane contaminated sludge"							"http://purl.obolibrary.org/obo/ENVO_00002177"
"Afrotropical Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001583"
"Albany Thicket ecoregion"	"An ecoregion in the Eastern Cape of South Africa with vegetation characterized by sclerophyllous and succulent shrubs."						"http://purl.obolibrary.org/obo/ENVO_03605201"
"Aldabra Island Xeric Scrub Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001605"
"Antarctic front"	"A polar front between the deep, cold Antarctic air and the shallower, warmer polar air of southern latitudes on Earth."					"http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001700"
"Arctic front"	"A polar front between the deep, cold Arctic air and the shallower, warmer polar air of northern latitudes on Earth."					"http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001699"
"Australasia Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001571"
"Bailey bridge"	"A bridge which is a truss bridge, pre-fabricated, and portable."						"http://purl.obolibrary.org/obo/ENVO_03501244"
"Bathymodiolus gill tissue material"							"http://purl.obolibrary.org/obo/ENVO_01001393"
"Bathymodiolus-dominated oceanic mussel bed"	"An oceanic mussel bed which has mussel communities dominated by members of the genus Bathymodiolus."					"http://purl.obolibrary.org/obo/envo#envoMarine|http://purl.obolibrary.org/obo/envo#envoCmecs"	"http://purl.obolibrary.org/obo/ENVO_01001390"
"Bathymodiolus-dominated oceanic mussel reef"	"An oceanic mussel reef which is primarily settled by mussels of the genus Bathymodiolus and primarily composed of self-adhered or conglomerated mussel shells"					"http://purl.obolibrary.org/obo/envo#envoMarine|http://purl.obolibrary.org/obo/envo#envoCmecs"	"http://purl.obolibrary.org/obo/ENVO_01001385"
"Bondon cheese environment"	"An environment which has its properties and composition determined by a portion of Bondon cheese."					"http://purl.obolibrary.org/obo/envo#envoMeo"	"http://purl.obolibrary.org/obo/ENVO_01001180"
"Calyptra habitat"	"A habitat which supports the persistence and growth of a population of Calyptra moths and which overlaps mesic meadows and edges and clearings in vegetated areas."	"vampire moth habitat"					"http://purl.obolibrary.org/obo/ENVO_01001452"
"Carnarvon Xeric Shrublands Ecoregion"			"Western coast of Australia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001575"
"Central Ranges Xeric Shrub Ecoregion"			"Central Australia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001576"
"Drakensberg Alti-Montane Grassland and Woodland ecoregion"	"An ecoregion in the montane grassland biome [ENVO:01001808] in the Drakensberg mountains of southern Africa above 2500 m."						"http://purl.obolibrary.org/obo/ENVO_03606003"
"Drakensberg Montane Grassland, Woodland, and Forest ecoregion"	"An ecoregion in the montane grassland biome [ENVO:01001808] in the Drakensberg mountains of southern Africa between 1800 and 2500 m."						"http://purl.obolibrary.org/obo/ENVO_03606004"
"East Saharan Montane Xeric Woodland Ecoregion"		"North central Africa: Eastern Chad and small area of western Sudan"					"http://purl.obolibrary.org/obo/ENVO_01001603"
"Eritrean Coastal Desert Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001602"
"Ethiopian Xeric Grasslands and Shrublands Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001601"
"Gibson Desert Ecoregion"			"Western central Australia"				"http://purl.obolibrary.org/obo/ENVO_01001577"
"Great Victoria Desert Ecoregion"			"Southern Australia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001579"
"Haber-Bosch process"	"A chemical engineering process that produces ammonia en masse via artificial nitrogen fixation."	"Haber process"					"http://purl.obolibrary.org/obo/ENVO_02000148"
"Highveld Grassland ecoregion"	"An ecoregion in the montane grassland biome [ENVO:01001808] in the interior plateau of southern Africa between 1400 and 1800 m."						"http://purl.obolibrary.org/obo/ENVO_03606009"
"Hill sphere"	"A site in which the attraction of satellites by gravitation is dominated by an astronomical body, bounded by a zero-velocity surface."	"Roche sphere"					"http://purl.obolibrary.org/obo/ENVO_01001228"
"Hobyo Grassland and Shrubland Ecoregion"			"Eastern Africa: Somalia"				"http://purl.obolibrary.org/obo/ENVO_01001599"
"IUCN habitat/species management area"	"An IUCN protected area within which the habitats of or ecosystems used by floral and faunal species deemed to be of international, national, or local importance are maintained, conserved, or restored such that their composition and functional integrity are maintained."		"habitat management area"		"species management area"		"http://purl.obolibrary.org/obo/ENVO_01001166"
"IUCN national park"	"An IUCN protected area which 1) primarily consists of ecosystems which are able to maintain their natural composition, structure, and function at a regional scale and which are deemed to be representative of a region's natural bio- and geodiversity, 2) is sufficiently large to allow its constituent ecosystems to function, develop, and recover from natural perturbations without human intervention, and 3) is managed to preserve natural ecosystem integrity and functioning at a regional scale, while allowing human access for the purposes of conservation, cultural and spiritural activities, research, education, tourism, subsistence use by indigenous communities, and recreation."		"national park"				"http://purl.obolibrary.org/obo/ENVO_00000367"
"IUCN natural monument or feature"	"An IUCN protected area which includes a primarily natural formation designated to be of high natural heritage value and the environmental systems which it determines (e.g. the spray zone of a waterfall monument)."				"natural monument"		"http://purl.obolibrary.org/obo/ENVO_01001165"
"IUCN protected area with sustainable use of natural resources"	"An IUCN protected area within which 1) natural ecosystems and their resources are either conserved or used through non-industrial human activities, 2) usage activites contribute to conservation goals, ensuring inter-generational security for local communities' livelihoods, and 3) the majority of benefits derived from the use of ecosystems are received by communities living near or in the area."		"protected area with sustainable use of natural resources"				"http://purl.obolibrary.org/obo/ENVO_01001225"
"IUCN protected landscape/seascape"	"An IUCN protected area which 1) includes entities that have been deemed to be of high scenic quality, 2) is composed of a historically stable assemblage of causally interlinked natural and anthropised ecosystems that provides cultural ecosystem services, and 3) hosts traditional and sustainable human activities."						"http://purl.obolibrary.org/obo/ENVO_01001172"
"IUCN strict nature reserve"	"An IUCN protected area in which human visitation, use and impacts are strictly controlled and limited to ensure protection and conservation of natural biodiversity and/or geodiversity, natural ecosystem assemblages and processes, and any associated cultural and spiritual values."		"strict nature reserve"				"http://purl.obolibrary.org/obo/ENVO_01001162"
"IUCN wilderness area"	"An IUCN protected area which 1) is dominated by natural ecosystems, 2) is sufficiently large to allow those ecosystems to function and develop without local anthropogenic perturbation, 3) is  managed to prevent perturbations by proximate or local anthropisation, including those caused by local and/or indigenous human communities or human visitation."	"wilderness area"					"http://purl.obolibrary.org/obo/ENVO_01001163"
"Ile Europa and Bassas da India Ecoregion"		"Southern Africa: Islands about half-way between southern Madagascar and southern Mozambique Ecoregion"					"http://purl.obolibrary.org/obo/ENVO_01001598"
"India ink"	"A black or colored ink which is 1) used for writing, printing, and drawing and 2) made from fine soot (lampblack) and water."	"Indian ink|Chinese ink"					"http://purl.obolibrary.org/obo/ENVO_03510014"
"Indo-Malay Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001626"
"Kaaba"	"A building which is at the center of Islam's most important mosque, the Great Mosque of Mecca."						"http://purl.obolibrary.org/obo/ENVO_03501271"
"Kalahari Xeric Savanna Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001597"
"Kaokoveld Desert Ecoregion"		"Africa: Coastal Namibia and Angola Ecoregion"					"http://purl.obolibrary.org/obo/ENVO_01001596"
"Karman vortex street"	"A succession of swirling vortices caused by the unsteady separation of flow of a fluid around one or more blunt bodies."	"von Kármán vortex street|Kármán vortex street"					"http://purl.obolibrary.org/obo/ENVO_01001109"
"L-(+)-tartrate enriched soil"	"A portion of L-(+)-tartrate enriched soil is a portion of soil with elevated levels of L-(+)-tartrate."						"http://purl.obolibrary.org/obo/ENVO_00003094"
"Lagrangian point"	"A site in which the combined gravitational pull of the two large astronomical bodies is such that a smaller body, affected only by gravity, can maintain a stable position relative to those two large bodies and orbit with them due to centripetal force."	"libration points|Lagrange points|L-points"					"http://purl.obolibrary.org/obo/ENVO_01001229"
"Lowland Fynbos and Renosterveld ecoregion"	"An ecoregion in the Cape Floristic Region of South Africa containing vegetation of the mediterranean shrubland biome [ENVO:01000217] occurring below 300 m."						"http://purl.obolibrary.org/obo/ENVO_03605202"
"Madagascar Spiny Thickets Ecoregion"		"Madagascar spiny desert ecoregion"					"http://purl.obolibrary.org/obo/ENVO_01001595"
"Madagascar Succulent Woodlands Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001594"
"Masai Xeric Grasslands and Shrublands Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001593"
"Mohorovicic discontinuity"	"The Mohorovicic discontinuity, usually referred to as the Moho, is the boundary between the Earth's crust and the mantle, indicating a change in composition."	"Mohorovičić discontinuity|Moho"					"http://purl.obolibrary.org/obo/ENVO_01000750"
"Montane Fynbos and Renosterveld ecoregion"	"An ecoregion in the Cape Floristic Region of South Africa containing vegetation of the mediterranean shrubland biome [ENVO:01000217] occurring above 300 m."						"http://purl.obolibrary.org/obo/ENVO_03605203"
"NMDC PlantAssociated broad scale value set"							"http://purl.obolibrary.org/obo/ENVO_03605022"
"NMDC PlantAssociated environmental medium value set"							"http://purl.obolibrary.org/obo/ENVO_03605024"
"NMDC PlantAssociated local scale value set"							"http://purl.obolibrary.org/obo/ENVO_03605023"
"NMDC PlantAssociated value sets"							"http://purl.obolibrary.org/obo/ENVO_03605016"
"NMDC Sediment broad scale value set"							"http://purl.obolibrary.org/obo/ENVO_03605021"
"NMDC Sediment environmental medium value set"							"http://purl.obolibrary.org/obo/ENVO_03605026"
"NMDC Sediment local scale value set"							"http://purl.obolibrary.org/obo/ENVO_03605025"
"NMDC Sediment value sets"							"http://purl.obolibrary.org/obo/ENVO_03605020"
"NMDC Soil broad scale value set"							"http://purl.obolibrary.org/obo/ENVO_03605013"
"NMDC Soil environmental medium value set"							"http://purl.obolibrary.org/obo/ENVO_03605015"
"NMDC Soil local scale value set"							"http://purl.obolibrary.org/obo/ENVO_03605014"
"NMDC Soil value sets"							"http://purl.obolibrary.org/obo/ENVO_03605011"
"NMDC Water broad scale value set"							"http://purl.obolibrary.org/obo/ENVO_03605017"
"NMDC Water environmental medium value set"							"http://purl.obolibrary.org/obo/ENVO_03605019"
"NMDC Water local scale value set"							"http://purl.obolibrary.org/obo/ENVO_03605018"
"NMDC Water value sets"							"http://purl.obolibrary.org/obo/ENVO_03605012"
"NMDC environmental context value sets"							"http://purl.obolibrary.org/obo/ENVO_03605010"
"NSIDC blizzard"	"A blizzard which has 1) winds of 35 miles per hour (approximately 56 kilometers per hour), 2) lasts for a period of at least three hours, and 3) occurs in extremely cold temperatures."					"http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/envo#envoCryo"	"http://purl.obolibrary.org/obo/ENVO_03000135"
"Nama Karoo Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001592"
"Namib Desert Ecoregion"			"Africa: Namibia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001591"
"Namibian Savanna Woodland Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001590"
"Northwestern Thorn Scrub Forests"					"Southern Asia: Eastern India and western Pakistan"		"http://purl.obolibrary.org/obo/ENVO_01001628"
"Nullarbor Plains Xeric Shrubland Ecoregion"			"Southern Australia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001580"
"Nye channel"	"A small tunnel valley."						"http://purl.obolibrary.org/obo/ENVO_00000437"
"Oman and United Arab Emirates Ecoregion"		"Arabian Peninsula: Oman and United Arab Emirates Ecoregion"					"http://purl.obolibrary.org/obo/ENVO_01001600"
"Oman, Yemen, and Saudi Arabia Ecoregion"		"Western Asia: Oman, Yemen, and Saudi Arabia Ecoregion"					"http://purl.obolibrary.org/obo/ENVO_01001604"
"Paramo"	"An alpine tundra ecosystem which exists above the continuous timberline but below the permanent snowline on elevated land in tropical regions."						"http://purl.obolibrary.org/obo/ENVO_01001360"
"Pilbara Shrublands Ecoregion"			"Western Australia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001574"
"Ramsar site"	"A wetland protected by the terms of the Ramsar Convention (The Convention on Wetlands of International Importance, especially as Waterfowl Habitat)."						"http://purl.obolibrary.org/obo/ENVO_00000365"
"Red Sea Coastal Desert Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001589"
"Simpson Desert Region"			"Eastern central Australia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001573"
"Socotran Archipelago Ecoregion"			"Islands east of the Horn of Africa and south of Yemen Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001588"
"Solar radiation"	"Stellar radiation emitted from Sol."						"http://purl.obolibrary.org/obo/ENVO_01001862"
"Somali Montane Xeric Woodland Ecoregion"		"Somali montane xeric woodlands ecoregion"					"http://purl.obolibrary.org/obo/ENVO_01001587"
"Succulent Karoo Ecoregion"			"Southern Africa: Southern Namibia into South Africa"				"http://purl.obolibrary.org/obo/ENVO_01001584"
"Superfund site"	"A highly contaminated site designated by the United States of America's Comprehensive Environmental Response, Compensation, and Liability Act."						"http://purl.obolibrary.org/obo/ENVO_00002156"
"Taylor column"	"A Taylor column is a column of deflected fluid flow which is formed in a perturbed, rotating fluid, is parallel to the axis of rotation, and extends above the obstacle perturbing the fluid in a rigid manner."						"http://purl.obolibrary.org/obo/ENVO_01000299"
"Thar Desert"					"Southern Asia: Western India into Pakistan"		"http://purl.obolibrary.org/obo/ENVO_01001627"
"The Great Sandy-Tanami Desert Ecoregion"			"Northwestern Australia"				"http://purl.obolibrary.org/obo/ENVO_01001578"
"Tirari-Sturt Stony Desert Ecoregion"			"Southern central Australia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001572"
"UNEP-WCMC class 1 mountain"	"A high-elevation mountain which has a maximum elevation greater than 4500 metres above sea level."						"http://purl.obolibrary.org/obo/ENVO_01001461"
"UNEP-WCMC class 2 mountain"	"A high-elevation mountain which has a maximum elevation between 3500 and 4500 metres above sea level."						"http://purl.obolibrary.org/obo/ENVO_01001462"
"UNEP-WCMC class 3 mountain"	"A high-elevation mountain which has a maximum elevation between 2500 and 3500 metres above sea level."						"http://purl.obolibrary.org/obo/ENVO_01001463"
"UNEP-WCMC class 4 mountain"	"A mid-elevation mountain which has a maximum elevation between 1500 and 2499 metres above sea level and a slope greater than or equal to two degrees."						"http://purl.obolibrary.org/obo/ENVO_01001464"
"UNEP-WCMC class 5 mountain"	"A mid-elevation mountain which has a maximum elevation between 1000 and 1499 metres above sea level and either 1) a slope greater than or equal to five degrees or 2) a local elevation range, within a 7 kilometre radius, of greater than 300 metres above sea level."						"http://purl.obolibrary.org/obo/ENVO_01001465"
"UNEP-WCMC class 6 mountain"	"A mid-elevation mountain which has a maximum elevation between 300 and 999 metres above sea level and a local elevation range, within a 7 kilometre radius, of greater than 300 metres above sea level."						"http://purl.obolibrary.org/obo/ENVO_01001466"
"UNEP-WCMC class 7 mountain"	"An elevated inner basin or plateau surrounded by mountains, but not - itself - a mountain."						"http://purl.obolibrary.org/obo/ENVO_01001467"
"WMO blizzard"	"A blizzard which 1) lasts at least 3 hours, 2) combines below freezing temperatures and very strong wind, laden with blowing snow."					"http://purl.obolibrary.org/obo/envo#envoCryo|http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_03000134"
"Western Australian Mulga Shrublands Ecoregion"			"Western Australia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001569"
"X-ray radiation"	"A radiation process during which penetrating electromagnetic radiation is emitted by high-energy electrons as they fall into a lower state of energy."	"X ray radiation"			"X-ray"	"http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_21001217"
"X-ray stellar radiation"	"A stellar radiation process during which penetrating electromagnetic radiation is emitted by high-energy electrons as they fall into a lower state of energy."	"x ray stellar radiation"		"X-ray solar radiation"		"http://purl.obolibrary.org/obo/envo#environmental_hazards|http://purl.obolibrary.org/obo/envo#envoAstro"	"http://purl.obolibrary.org/obo/ENVO_01001217"
"Yemen and Saudi Arabia Ecoregion"		"Arabian Peninsula: Yemen and Saudi Arabia"					"http://purl.obolibrary.org/obo/ENVO_01001585"
"Yemen, Saudi Arabia, and Oman Ecoregion"		"Arabian Peninsula: Yemen, Saudi Arabia, and Oman"					"http://purl.obolibrary.org/obo/ENVO_01001586"
"abandoned fishing gear"	"Fishing gear which is not under the control of or maintained by its custodian."					"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_06105117"
"abandoned watercourse"	"A former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns."						"http://purl.obolibrary.org/obo/ENVO_00000524"
"abattoir"	"A facility in which non-human animals are slaughtered and processed for human consumption."	"slaughterhouse|slaughter plant"			"meat processing building|butchery"		"http://purl.obolibrary.org/obo/ENVO_01000925"
"abyssal clay"	"Clay which is part of an abyssal plain."						"http://purl.obolibrary.org/obo/ENVO_01001396"
"abyssal feature"	"Feature on the ocean floor at a depth of 3500 - 6000 meters."				"abyssal hill|Abyssalhill|ocean floor feature"		"http://purl.obolibrary.org/obo/ENVO_00000190"
"abyssal plain"	"A flat or very gently sloping areas of the deep ocean basin floor."	"Abyssalplain"			"abyssal feature"	"http://purl.obolibrary.org/obo/ENVO_03605018"	"http://purl.obolibrary.org/obo/ENVO_00000244"
"accumulation of matter on aerosolised particles"						"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001394"
"accumulation of toxins from algal bloom process"							"http://purl.obolibrary.org/obo/ENVO_02500024"
"acetamide enriched soil"	"A portion of acetamide enriched soil is a portion of soil with elevated levels of acetamide."						"http://purl.obolibrary.org/obo/ENVO_00003087"
"achondrite"	"A stony meteorite that is made of material similar to terrestrial basalts or plutonic rocks."						"http://purl.obolibrary.org/obo/ENVO_00002050"
"acid dune sand"							"http://purl.obolibrary.org/obo/ENVO_00005798"
"acid mine drainage"	"A mine drainage with an acidic pH."				"acid rock drainage"	"http://purl.obolibrary.org/obo/ENVO_03605018"	"http://purl.obolibrary.org/obo/ENVO_00001997"
"acid rainfall"	"A water-based rainfall process during which water droplets with increased acidity fall towards a planetary surface."		"acid rain"				"http://purl.obolibrary.org/obo/ENVO_03000127"
"acidic environment"	"An acidic environment is an environment in which material entities are exposed to a low pH."						"http://purl.obolibrary.org/obo/ENVO_01000315"
"acidic hot spring"	"An acidic spring through which groundwater, heated by geothermal energy, flows."		"acid hot spring"				"http://purl.obolibrary.org/obo/ENVO_00002120"
"acidic soil"	"Soil which has increased levels of molecules or ions capable of donating a hydron (proton or hydrogen ion) to other chemical entities, or, alternatively, capable of forming covalent bonds with other chemicals via the acceptance of an electron pair, resulting in a bulk pH measurement of less than 7."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_01001185"
"acidic spring"	"A spring through which water with a low pH flows."		"acid spring"				"http://purl.obolibrary.org/obo/ENVO_01001898"
"acidic volcanic ash"	"Volcanic ash which has increased levels of molecules or ions capable of donating a hydron (proton or hydrogen ion) to other chemical entities, or, alternatively, capable of forming covalent bonds with other chemicals via the acceptance of an electron pair, resulting in a bulk pH measurement of less than 7."						"http://purl.obolibrary.org/obo/ENVO_01001186"
"acidic water"	"A portion of acidic water is a portion of water with a pH less than 7."					"http://purl.obolibrary.org/obo/ENVO_03605019"	"http://purl.obolibrary.org/obo/ENVO_01000358"
"acidic water-based rain"	"Water-based rain which has increased acidity."	"acid rain"					"http://purl.obolibrary.org/obo/ENVO_03000128"
"acidification of an aquatic environment"	"Acidification of an aquatic environment is a process whereby the pH of an aquatic environment, biome, or water body is lowered."						"http://purl.obolibrary.org/obo/ENVO_01000630"
"acidity of soil"	"The acidity of some soil."	"soil acidity"			"soil pH"		"http://purl.obolibrary.org/obo/ENVO_09200010"
"acidity of water"	"The acidity of some water."	"water acidity"					"http://purl.obolibrary.org/obo/ENVO_3100030"
"acoustic radiation"	"A radiation process during which mechanical waves generated by oscillations radiate through an environmental material."					"http://purl.obolibrary.org/obo/envo#envoAstro"	"http://purl.obolibrary.org/obo/ENVO_01001027"
"acrisol"	"Acrisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Acrisols have in certain depths a low base saturation and low-activity clays."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_00002234"
"acrylic paint"	"A water soluble, fast-drying paint made of pigment suspended in acrylic polymer emulsion."						"http://purl.obolibrary.org/obo/ENVO_03510032"
"acrylic paint medium"	"A liquid, gel, or paste that can be mixed into acrylic paint to alter paint consistency and properties."		"acrylic paint thinner"				"http://purl.obolibrary.org/obo/ENVO_03510026"
"activated sludge"							"http://purl.obolibrary.org/obo/ENVO_00002046"
"active agri-ecosystem management process"	"An active ecosystem management process which targets an agricultural ecosystem."	"agri-ecosystem management"			"agricultural environment management|Agrarumweltmaßnahme|agri-environmental management"		"http://purl.obolibrary.org/obo/ENVO_01001499"
"active anaerobic enrichment culturing unit"	"An active enrichment culturing unit which contains environmental material maintained under conditions with no free oxygen."						"http://purl.obolibrary.org/obo/ENVO_01001825"
"active ecosystem management process"	"A process during which an ecosystem, its parts, or the processes it participates in are modified by human intervention to accomplish an objective."	"ecosystem management"			"environmental management|Umweltmaßnahme"		"http://purl.obolibrary.org/obo/ENVO_01001170"
"active enrichment culturing unit"	"An enrichment culturing unit which contains environmental material bearing ecological assemblages undergoing selection through experimentally imposed conditions."						"http://purl.obolibrary.org/obo/ENVO_01001822"
"active geological fault"	"An active fault is a fault that is likely to become the source of another earthquake sometime in the future. Geologists commonly consider faults to be active if there has been movement observed or evidence of seismic activity during the last 10,000 years."	"active fault"				"http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_01000669"
"active layer in a cryosphere"	"A layer of environmental material which is subject to freeze-thaw cycles."		"active layer"			"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01001610"
"active permafrost layer"	"A layer which is composed of ground that is 1) subject to annual thawing and freezing and 2) present in areas underlain by permafrost."	"active layer of permafrost"				"http://purl.obolibrary.org/obo/envo#envoNceas|http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/ENVO_03605014"	"http://purl.obolibrary.org/obo/ENVO_04000009"
"active sulphate-reducing enrichment culturing unit"	"An active enrichment culturing unit which contains environmental material maintained under conditions that favour the reduction of sulphate."						"http://purl.obolibrary.org/obo/ENVO_01001826"
"acute care facility"	"A healthcare facility which is used for short-term patient care."	"acute care center|ACF|ACC"					"http://purl.obolibrary.org/obo/ENVO_03501135"
"adfreezing"	"Adfreezing is a freezing process during which two objects adhere to each other via ice."					"http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/envo#envoNceas"	"http://purl.obolibrary.org/obo/ENVO_04000000"
"adhesion"	"An environmental system process during which two dissimilar materials attach to one another."						"http://purl.obolibrary.org/obo/ENVO_06105024"
"adiabatic process"	"An environmental process during which a system does not thermally interact with its surroundings by virtue of a temperature difference between them."					"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001723"
"adit"	"A horizontal or nearly horizontal passage to an underground mine."						"http://purl.obolibrary.org/obo/ENVO_02000192"
"administrative region"		"administrative area"			"neutral zone (political)|prefecture|sultanate|protectorate|sheikdom|leased area (government)|administrative entity|leased zone (government)|administrative division|district|governed place|boundary region|civil area|free trade zone|trade zone"		"http://purl.obolibrary.org/obo/ENVO_00000004"
"adobe"	"A natural building material mode from sand, clay, water, and some kind of fibrous or organic material (sticks, straw, and/or manure)."						"http://purl.obolibrary.org/obo/ENVO_00002870"
"adsorption"	"A material accumulation process during which material adheres to a solid or liquid surface."	"adsorbimento|adsorción|Adsorption|吸附"				"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_06105021"
"advective"	"A physical quality of a process which is characteristic of process that transport material without, themselves, changing the qualities of those materials or the processes that are unfolding within them."						"http://purl.obolibrary.org/obo/ENVO_01003012"
"advective transport process"	"A material transport process during which a volume of material is displaced due to a disequilibrium in physical forces and during which 1) the qualities that inhere in that volume and 2) the processes that are unfolding within it are largely unchanged."	"advective transport"					"http://purl.obolibrary.org/obo/ENVO_01001334"
"aeolian lake"	"A lake which fills a basin that has been dammed by wind-blown sand,  formed between sand dunes oriented by winds; or formed by wind action under previously arid paleoenvironments."						"http://purl.obolibrary.org/obo/ENVO_01001105"
"aeolian transport of snow"	"An aeolian transport process during which powdery snow is displaced and moved."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_03000103"
"aeolian transport process"	"A material transport process during which one or more environmental materials are transported by the action of wind."	"eolian|æolian"				"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_03000020"
"aerobic bioreactor"	"A bioreactor in which the contained material is well-oxygenated."						"http://purl.obolibrary.org/obo/ENVO_00002126"
"aerobic sulfide-oxidizing bioreactor"	"An aerobic bioreactive which contains microbial communities capable of sulfide oxidation."						"http://purl.obolibrary.org/obo/ENVO_00002210"
"aeroform"	"A part of an astronomical body which is primarily composed of a continuous volume of gaseous or aerosolised material held in shape by one or more environmental processes."					"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01000755"
"aerosol"	"Airborne solid particles (also called dust or particulate matter (PM)) or liquid droplets."					"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_00010505"
"aerosol environment"	"An environmental system which has its properties and dynamics determined by an aerosol."					"http://purl.obolibrary.org/obo/envo#envoOmics|http://purl.obolibrary.org/obo/envo#envoEmpo"	"http://purl.obolibrary.org/obo/ENVO_01001052"
"aerosol formation process"	"A material transformation process during which solid or liquid particles form and are suspended in a mass of air, thus creating an aerosol."						"http://purl.obolibrary.org/obo/ENVO_01001654"
"aerosolisation of dust"	"A primary aerosol formation process during which dust particles are suspended in a gaseous medium."						"http://purl.obolibrary.org/obo/ENVO_01001398"
"aerosolised liquids"	"An aerosol which has non-gaseous parts that are primarily composed of liquid droplets."	"liquid aerosol"				"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001088"
"aerosolised particle formation event"	"An aerosol formation process during which the rate of particle formation exceeds that which is normally present in the site of its occurrence."					"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001372"
"aerosolised particle formation process"	"A process during which particles suspended in a gaseous medium are formed."	"new particle formation process"				"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001366"
"aerosolised solids"	"An aerosol which has non-gaseous parts that are primarily composed of solid particles."	"solid aerosol"				"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001089"
"afforestation"	"Establishment of a new forest by seeding or planting of nonforested land."						"http://purl.obolibrary.org/obo/ENVO_02500011"
"aftershock"	"A tectonic earthquake which 1) is embedded in a series of tectonic earthquakes, linked to the same release of energy in the crust and 2) occurs after the mainshock."						"http://purl.obolibrary.org/obo/ENVO_01001772"
"agricultural ecosystem"	"An ecosystem which either 1) has its functions and composition determined by agricultural processes or entities or 2) is formed as the result of an agricultural land conversion process."			"feedlot|nursery|barn|irrigated field|corral|sheepfold|stockyard|grange|grazing allotment|cattle dipping tank|dairy|pastoral site"	"agricultural site|agricultural facility|agricultural land|agricultural colony|agricultural reserve|AgriculturalLands"		"http://purl.obolibrary.org/obo/ENVO_00000077"
