?label	?definition	?exactSynonym	?broadSynonym	?narrowSynonym	?relatedSynonym	?subsetType	?uri
"back-arc basin"	"A depression in the sea floor that results from the collision of continental plates; the weight of the sinking plate causes the overlying plate to stretch and thin, causing a basin in the overlying plate. Sometimes, the Earth's crust in these basins stretches so much it cracks, allowing magma through from the mantle beneath. Hence, basins often contain active volcanoes and hydrothermal vents."	"backarc basin"	"basin"				"http://purl.obolibrary.org/obo/ENVO_00002277"
"backwater"	"An area of calm water unaffected by the current of a stream."	"BACKWATER"	"wetland"				"http://purl.obolibrary.org/obo/ENVO_00000472"
"bacon curing brine"						"http://purl.obolibrary.org/obo/ENVO_03605019"	"http://purl.obolibrary.org/obo/ENVO_00003045"
"bacteria enriched soil"	"A portion of bacteria enriched soil is a portion of soil with elevated bacterial abundance."						"http://purl.obolibrary.org/obo/ENVO_00005757"
"bacterial cell culture"	"A microbial cell culture which is primarily composed of bacterial biomass."						"http://purl.obolibrary.org/obo/ENVO_01001969"
"badland"	"An arid terrain with clay-rich soil that has been extensively eroded by wind and water."	"badlands"	"barren land"				"http://purl.obolibrary.org/obo/ENVO_00000127"
"bagasse"	"The biomass remaining after sugarcane stalks are crushed to extract their juice."	"sugarcane bagasse"					"http://purl.obolibrary.org/obo/ENVO_00002872"
"bajada"	"A convergence of neighboring alluvial fans into a single apron of deposits against a slope."				"desert"		"http://purl.obolibrary.org/obo/ENVO_00000315"
"bakery"	"A bakery is a building in which raw flour-based food is baked in an oven to produce food products such as bread, cakes, pastries, and pies. These products are often sold from the bakery itself."				"bakeshop"		"http://purl.obolibrary.org/obo/ENVO_00003864"
"ballast tank"	"A ballast tank is a compartment within a boat, ship or other floating structure that holds water, which is used as ballast to provide stability for a vessel."						"http://purl.obolibrary.org/obo/ENVO_01000873"
"ballast water"	"Ballast water is water contained in the ballast tanks of sea-going vessels."					"http://purl.obolibrary.org/obo/ENVO_03605019"	"http://purl.obolibrary.org/obo/ENVO_01000872"
"banana plantation"			"agricultural site"				"http://purl.obolibrary.org/obo/ENVO_00000161"
"bank"	"The sloping margin of a watercourse, serving to confine it to its natural channel."		"mount"		"shore"	"http://purl.obolibrary.org/obo/ENVO_03605025|http://purl.obolibrary.org/obo/ENVO_03605014"	"http://purl.obolibrary.org/obo/ENVO_00000141"
"bar"	"A linear shoaling landform feature within a body of water. Bars tend to be long and narrow (linear) and develop where a current (or waves) promote deposition of granular material, resulting in localized shallowing (shoaling) of the water. Bars can appear in the sea, in a lake, or in a river. They are typically composed of sand, although could be of any granular matter that the moving water has access to and is capable of shifting around (for example, soil, silt, gravel, cobble, shingle, or even boulders). The grain size of the material comprising a bar is related: to the size of the waves or the strength of the currents moving the material, but the availability of material to be worked by waves and currents is also important."		"seafloor feature"		"tongue|undersea shoal|ball|marsh bar|sandbar|barrier beach|transverse bar|shoal patches|shoal|point|Shoal|sand hom|longshore bar|shoals|sand bar|offshore bar|tongue (seafloor)|sand lobe|spit|cuspate spit|sand spit|sand bank|barrier island|hooked spit|bank|recurved spit|hook"	"http://purl.obolibrary.org/obo/ENVO_03605025"	"http://purl.obolibrary.org/obo/ENVO_00000167"
"bare soil"	"Soil which is directly exposed to the atmosphere - with no intervening layer of plant life or other cover - and thus the effects of weathering and erosion."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_01001616"
"bare soil surface layer"	"A soil surface which is exposed to the troposphere, with no appreciable cover from vegetation or other material."					"http://purl.obolibrary.org/obo/envo#envoNceas"	"http://purl.obolibrary.org/obo/ENVO_04000011"
"barium dust"	"Dust which is primarily composed of barium particles."						"http://purl.obolibrary.org/obo/ENVO_01001284"
"barn"	"An agricultural building used for crop storage or animal husbandry."						"http://purl.obolibrary.org/obo/ENVO_03501257"
"barrier island"	"An island formed by the accumulation of sand deposited by sea currents on a continental shelves"						"http://purl.obolibrary.org/obo/ENVO_1000751"
"basalt"	"Basalt is a volcanic rock which is formed by the rapid cooling of basaltic lava."						"http://purl.obolibrary.org/obo/ENVO_01000236"
"baseboard"	"A building part consisting of a board covering the joint between the lowest part of an interior wall surface and the floor."						"http://purl.obolibrary.org/obo/ENVO_03501301"
"basic cation exchange capacity"	"A cation exchange capacity which inheres in an environmental material by virtue of the material's ability to adsorb basic exchangeable cations."	"BS"					"http://purl.obolibrary.org/obo/ENVO_06105242"
"batholith"	"A batholith is an area of mostly continuous plutonic (igneous intrusive) rock that covers an area larger than 100 square kilometers, formed in the planetary crust, and exposed by erosion. On Earth, Batholiths are almost always made mostly of felsic or intermediate rock-types, such as granite, quartz monzonite, or diorite."						"http://purl.obolibrary.org/obo/ENVO_01000521"
"bathroom"	"A bathroom is a room which contains a washbasin or other fixture, such as a shower or bath, used for bathing by humans."	"bathing room"			"washroom|toilet"		"http://purl.obolibrary.org/obo/ENVO_01000422"
"bathtub fixture"	"A plumbing fixture which may serve as a container for water in which humans or other animals may bathe."	"bathtub"			"tub|bath"		"http://purl.obolibrary.org/obo/ENVO_01000991"
"battery-powered electric lamp"	"A battery-powered electric lamp is an electric lamp which draws its power from a device composed of two or more electrochemical cells that convert stored chemical energy into electrical energy."						"http://purl.obolibrary.org/obo/ENVO_01000573"
"bay"	"An area of water bordered by land on three sides."				"inlet|sea lough|embayment|bahia|firth|sea loch"	"http://purl.obolibrary.org/obo/ENVO_03605025"	"http://purl.obolibrary.org/obo/ENVO_00000032"
"bayou"	"A small, slow-moving stream or creek; usually located in low-lying areas."		"lake|watercourse"		"slough|embayment|lake|bahia"		"http://purl.obolibrary.org/obo/ENVO_00000234"
