?label	?exact	?broad	?narrow	?related	?subset	?uri
"benthic deep-sea mining"	"deep-seafloor mining"					"http://purl.obolibrary.org/obo/ENVO_01001416"
"bicycle"		"bike"				"http://purl.obolibrary.org/obo/ENVO_01000614"
"bicycle"		"cycle"				"http://purl.obolibrary.org/obo/ENVO_01000614"
"bike path"						"http://purl.obolibrary.org/obo/ENVO_03500004"
"bile material"				"gall"		"http://purl.obolibrary.org/obo/ENVO_02000023"
"biochar"						"http://purl.obolibrary.org/obo/ENVO_2000007"
"biocrust"	"biological crust"					"http://purl.obolibrary.org/obo/ENVO_01000909"
"biodiversity conservation process"						"http://purl.obolibrary.org/obo/ENVO_01001635"
"biofilm"					<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"http://purl.obolibrary.org/obo/ENVO_00002034"
"biofilm material"						"http://purl.obolibrary.org/obo/ENVO_01000156"
