?label	?exact	?broad	?narrow	?related	?subset	?uri
"cloud formation process"	"cloud formation"					"http://purl.obolibrary.org/obo/ENVO_01001083"
"cnidarian-associated environment"					"envoMeo"	"http://purl.obolibrary.org/obo/ENVO_01001179"
"coal"						"http://purl.obolibrary.org/obo/ENVO_02000091"
"coal ash"	"coal combustion residuals"					"http://purl.obolibrary.org/obo/ENVO_02000127"
"coal dust"						"http://purl.obolibrary.org/obo/ENVO_02000099"
"coal mine"						"http://purl.obolibrary.org/obo/ENVO_00002169"
"coal mine lake sediment"						"http://purl.obolibrary.org/obo/ENVO_00002147"
"coal mine waste material"		"coal mine waste"		"coal refuse"		"http://purl.obolibrary.org/obo/ENVO_00002206"
"coal mining"						"http://purl.obolibrary.org/obo/ENVO_01001440"
"coal power plant"						"http://purl.obolibrary.org/obo/ENVO_2000038"
"coarse beach sand"						"http://purl.obolibrary.org/obo/ENVO_00002148"
"coast"						"http://purl.obolibrary.org/obo/ENVO_01000687"
"coastal buoyancy current front"						"http://purl.obolibrary.org/obo/ENVO_01000086"
"coastal dune"						"http://purl.obolibrary.org/obo/ENVO_00000416"
"coastal flood"					"environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_01000711"
"coastal flooding"					"environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_01000707"
"coastal inlet"				"coastal inlet"	"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00000137"
"coastal plain"						"http://purl.obolibrary.org/obo/ENVO_00000090"
"coastal scrubland"			"coastal chaparral"			"http://purl.obolibrary.org/obo/ENVO_01000237"
"coastal sea water"	"coastal ocean water"	"coastal water"			"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00002150"
"coastal sea water"	"coastal oceanic water"	"coastal water"			"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00002150"
"coastal sea water"	"coastal seawater"	"coastal water"			"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00002150"
"coastal shrimp pond"						"http://purl.obolibrary.org/obo/ENVO_01001256"
"coastal upwelling"						"http://purl.obolibrary.org/obo/ENVO_01000006"
"coastal upwelling front"						"http://purl.obolibrary.org/obo/ENVO_01000090"
"coastal water body"					"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_02000049"
"coastal wetland ecosystem"						"http://purl.obolibrary.org/obo/ENVO_00000230"
"cobble"						"http://purl.obolibrary.org/obo/ENVO_00002140"
"cobble sediment"						"http://purl.obolibrary.org/obo/ENVO_01000115"
