?label	?subset	?def	?cls
"air"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth."	<http://purl.obolibrary.org/obo/ENVO_00002005>
"fossil"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"The mineralized or otherwise preserved remains or traces (such as footprints) of animals, plants, and other organisms."	<http://purl.obolibrary.org/obo/ENVO_00002164>
"lava flow"	"environmental_hazards"	"A lava flow is a moving outpouring of lava, which is created during a non-explosive effusive eruption."	<http://purl.obolibrary.org/obo/ENVO_01000438>
"ice-encased melt pond"@en	"envoPolar"	"A melt pond which is completely encased in ice and thus not directly exposed to the atmosphere or underlying water."	<http://purl.obolibrary.org/obo/ENVO_03000051>
"polynya"	"envoPolar"	"Any enclosed water area in pack ice other than a lead, not large enough to be called open water. When frozen over, a polyna becomes an ice skylight from the point of view of the submariner."	<http://purl.obolibrary.org/obo/ENVO_00000484>
"subpolar"	"envoPolar"	"A subpolar condition is an environmental condition in which an environmental system receives low, yearly solar irradiance per unit area and is surrounded by large land masses. This results in very cold winters with temperatures potentially falling to around -40 degrees Celsius and summers which last no more than 3 months of the year with a 24-hour average temperature of at least 10 degrees Celsius."	<http://purl.obolibrary.org/obo/ENVO_01000251>
"brackish water environment"	"envoPolar"	"An environment determined by the presence of brackish water."	<http://purl.obolibrary.org/obo/ENVO_01000322>
"ice field"	"envoPolar"	"A field of ice, formed in regions of perennial frost."	<http://purl.obolibrary.org/obo/ENVO_00000299>
"pelagic isothermal surface"	"envoPolar"	"A roughly planar, pelagic region characterised by equal water temperature."	<http://purl.obolibrary.org/obo/ENVO_01000080>
"cryoconite hole"@en	"envoPolar"	"A vertical thaw hole within an ice mass, formed by ice melt associated with local temperature increases, due to increased absorption of solar radiation by cryoconite deposits."	<http://purl.obolibrary.org/obo/ENVO_03000039>
"coastal flood"@en	"environmental_hazards"	"A coastal flood is a flood which is formed as a result of large amounts of water from marine water bodies or large lakes being transported to usually dry land by displacement processes such as high winds or seismic activity."	<http://purl.obolibrary.org/obo/ENVO_01000711>
"cryoform"@en	"envoPolar"	"A geographic feature which is primarily composed of a continuous mass of snow and/or ice."	<http://purl.obolibrary.org/obo/ENVO_03000110>
"area of mixed forest"@en	"nlcd2011"	"An area of a planet's surface which is primarily covered by a forest in which the majority of trees maintain their foliage despite seasonal change. The surfaces of this area (including the surface of the forest canopy) are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000855>
"subtropical dry broadleaf forest biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000225>
"channel"@en	"envoPolar"	"A structure which traverses a mass of one or more environmental materials, and encloses a roughly tubular site."	<http://purl.obolibrary.org/obo/ENVO_03000117>
"tunnel valley"	"envoPolar"	"A deep but narrow valley with a 'U' shaped cross-section and frequently a 'U' shaped plan which is usually found filled with glacial till. It is formed when the edge of an ice mass advances up a slope. Its length may be appropriately measured in centimetres or kilometres, depending on the circumstances of formation."	<http://purl.obolibrary.org/obo/ENVO_00000436>
"marine anoxic zone"	"envoPolar"	"Marine anoxic zones are areas of marine water that are depleted of dissolved oxygen. This condition is generally found in areas that have restricted water exchange. In most cases, oxygen is prevented from reaching the deeper levels by a physical barrier (sill) as well as by a pronounced density stratification. Anoxic conditions will occur if the rate of oxidation of organic matter by bacteria is greater than the supply of dissolved oxygen."	<http://purl.obolibrary.org/obo/ENVO_01000066>
"megathrust earthquake"@en	"environmental_hazards"	"A megathrust earthquake is a tectonic earthquake which occurs at subduction zones at destructive plate boundaries (convergent boundaries). These interplate earthquakes are the planet's most powerful, with moment magnitudes that can exceed 9.0."	<http://purl.obolibrary.org/obo/ENVO_01000679>
"mass wasting"@en	"envoPolar"	"Mass wasting is the geomorphic process by which solid environmental material such as soil, sand, regolith, and/or rock move downslope typically as a mass, largely under the force of gravity, but frequently affected by water and water content as in submarine environments and mudslides."	<http://purl.obolibrary.org/obo/ENVO_01000690>
"erosion"	"envoPolar"	"An action of exogenic processes (such as water flow or wind) which remove soil and rock from one location on the Earth's crust, then transport it to another location where it is deposited."	<http://purl.obolibrary.org/obo/ENVO_02500028>
"aquifer"	"envoPolar"	"An underground layer of water-bearing permeable rock or unconsolidated materials (gravel, sand, silt, or clay) from which groundwater can be usefully extracted using a water well."	<http://purl.obolibrary.org/obo/ENVO_00012408>
"montane grassland biome"	"wwfBiome"	"A montane grassland biome is a grassland biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions."	<http://purl.obolibrary.org/obo/ENVO_01000194>
"marine lysocline"	"envoPolar"	"The marine lysocline denotes the depth in the ocean below which the rate of dissolution of calcite increases dramatically. As water column depth and therefore pressure increases, the corresponding calcite saturation of seawater decreases and the calcite begins dissolve."	<http://purl.obolibrary.org/obo/ENVO_01000079>
"hydrocarbon gas emission process"@en	"envoPolar"	"A gas emission process during which a portion of hydrocarbon gas is transported into the atmosphere."	<http://purl.obolibrary.org/obo/ENVO_03000093>
"biofilm"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"A complex aggregation of microorganisms marked by the excretion of a protective and adhesive matrix; usually adhering to a substratum."	<http://purl.obolibrary.org/obo/ENVO_00002034>
"coastal water body"	"envoPolar"	"Coastal water is a marine water body bordering a coast."	<http://purl.obolibrary.org/obo/ENVO_02000049>
"flash flood"@en	"environmental_hazards"	"A flash flood is a flood formed by the rapid flooding of geomorphic low-lying areas. It may be caused by heavy rain associated with a severe thunderstorm, hurricane, tropical storm, or meltwater from ice or snow flowing over ice sheets or snowfields. Flash floods may also occur after the collapse of a natural ice or debris dam, or a human structure such as a man-made dam. Flash floods are distinguished from a regular flood by a timescale of less than six hours."	<http://purl.obolibrary.org/obo/ENVO_01000713>
"slab avalanche"@en	"envoPolar"	"A mass wasting process during which slab snow rapidly moves down a sloping surface."	<http://purl.obolibrary.org/obo/ENVO_03000105>
"ice piedmont"	"envoPolar"	"A glacier covering a coastal strip of low-lying land backed by mountains, and sloping gently seaward over a distance up to 30km or more to terminate in ice cliffs or to merge with an ice shelf."	<http://purl.obolibrary.org/obo/ENVO_00009725>
"astronomical body part"@en	"envoPolar"	"A material part of an astronomical body."	<http://purl.obolibrary.org/obo/ENVO_01000813>
"ice lens"	"envoPolar"	"A mass which is formed when moisture, diffused within soil or rock, accumulates and freezes in a localized zone, wedging soil or rock apart."	<http://purl.obolibrary.org/obo/ENVO_01000279>
"ice cap depression"	"envoPolar"	"A depression which is part of an ice cap."	<http://purl.obolibrary.org/obo/ENVO_00000531>
"marine chemocline"	"envoPolar"	"A marine chemocline is a marine cline caused by a strong, vertical chemistry gradient within a body of marine water. Chemoclines most commonly occur where local conditions favor the formations of anoxic bottom water."	<http://purl.obolibrary.org/obo/ENVO_01000076>
"plateau glacier"	"envoPolar"	"A glacier on a plateau or high area, smaller than an ice sheet."	<http://purl.obolibrary.org/obo/ENVO_00000457>
"water column exposed melt pond"@en	"envoPolar"	"A melt pond which is located toward the base of an ice mass and is open to any underlying water."	<http://purl.obolibrary.org/obo/ENVO_03000119>
"methanogenesis"	"envoPolar"	"The chemical reactions and pathways resulting in the formation of methane, a colorless, odorless, flammable gas with the formula CH4. It is the simplest of the alkanes."	<http://purl.obolibrary.org/obo/GO_0015948>
"blue ice"@en	"envoPolar"	"Water ice containing little to no air bubbles resulting in a reduction of internal light scattering and, given sufficient volume, a blue appearance."	<http://purl.obolibrary.org/obo/ENVO_03000007>
"hydrocarbon gas"@en	"envoPolar"	"A gas that is primarily composed of hydrocarbon molecules."	<http://purl.obolibrary.org/obo/ENVO_01000554>
"wildfire"@en	"environmental_hazards"	"A conflagration which is uncontrolled and combusts material in a vegetated area, be it rural or wild."	<http://purl.obolibrary.org/obo/ENVO_01000787>
"cold environment"	"envoPolar"	"A cold environment is an environment in which entities are exposed to low temperatures."	<http://purl.obolibrary.org/obo/ENVO_01000309>
"tropical shrubland biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000214>
"drought"@en	"environmental_hazards"	"A hydrological precipitation process with a reduced rate relative to some historical average, typically resulting in ecosystemic perturbations."	<http://purl.obolibrary.org/obo/ENVO_1000745>
"ocean"	"envoPolar"	"Continuous saline-water bodies that surround the continents and fill the Earth's great depressions."	<http://purl.obolibrary.org/obo/ENVO_00000015>
"migration path"@en	"envoPolar"	"An ecological corridor through which organisms move during a migration process."	<http://purl.obolibrary.org/obo/ENVO_01000931>
"wet snow avalanche"@en	"envoPolar"	"An avalanche during which a suspension of water and snow flows down a sloping surface."	<http://purl.obolibrary.org/obo/ENVO_03000107>
"tundra"	"envoPolar"	"Treeless, level, or gently rolling plains characteristic of arctic or subarctic regions, having a permanently frozen subsoil, and usually supporting low growing vegetation such as lichens, mosses, and stunted shrubs."	<http://purl.obolibrary.org/obo/ENVO_00000112>
"icestorm"@en	"envoPolar"	"An atmospheric storm during which freezing rain falls and accumulates as ice on exposed surfaces."	<http://purl.obolibrary.org/obo/ENVO_01000882>
"cloud condensation nucleus"@en	"envoPolar"	"A solid or liquid particle, usually 0.2 micrometers in diameter, on which water vapour condenses, seeding cloud formation."	<http://purl.obolibrary.org/obo/ENVO_01000912>
"aeolian transport process"@en	"envoPolar"	"A material transport process during which one or more environmental materials are transported by the action of wind."	<http://purl.obolibrary.org/obo/ENVO_03000020>
"coastal inlet"	"envoPolar"	"An opening of the sea into the land."	<http://purl.obolibrary.org/obo/ENVO_00000137>
"terminal moraine"	"envoPolar"	"Ridges of unconsolidated debris deposited at the snout or end of the glacier. They usually reflect the shape of the glacier's terminus."	<http://purl.obolibrary.org/obo/ENVO_00000252>
"water pollution"	"environmental_hazards"	"A pollution process during which water is contaminated."	<http://purl.obolibrary.org/obo/ENVO_02500039>
"sea cliff"	"envoPolar"	"A cliff that is a margin of a sea or ocean."	<http://purl.obolibrary.org/obo/ENVO_00000088>
"range of mounts"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_00000478>
"ecosystem-wide aerobic respiration"@en	"envoPolar"	"A process which consists of all aerobic respiration processes instantiated in an ecosystem."	<http://purl.obolibrary.org/obo/ENVO_01000633>
"glacial lake"	"envoPolar"	"A lake which is primarily composed of glacial meltwater and which fills a depression formed as a result of a glacial erosion process."	<http://purl.obolibrary.org/obo/ENVO_00000488>
"storm"@en	"environmental_hazards"	"A storm is an environmental process in which an environmental system and the processes it participates in are strongly perturbed by external forcings. These forcings typically increase the rates of processes unfolding in the system, relative to their normal rates."	<http://purl.obolibrary.org/obo/ENVO_01000876>
"freshwater algal bloom"	"envoPolar"	"An algal bloom that is located in freshwater. Freshwater algal blooms are the result of an excess of nutrients, particularly some phosphates."	<http://purl.obolibrary.org/obo/ENVO_2000005>
"area of barren land"@en	"envoPolar"	"An area of a planet's surface which is primarily composed of bedrock, desert pavement, scarp rock, talus, material exposed by slides, volcanic material, glacial debris, sand, material exposed during strip mining, gravel, and other accumulations of earthen material in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000752>
"metotsunami"@en	"environmental_hazards"	"A meteotsunami is a tsunami caused by atmospheric processes and differences in air pressure."	<http://purl.obolibrary.org/obo/ENVO_01000715>
"material decumulation process"@en	"envoPolar"	"A process during which the mass of one or more materials, present within a given site, decreases."	<http://purl.obolibrary.org/obo/ENVO_03000016>
"snow patch"@en	"envoPolar"	"An accumulation of snow and firn which rests upon land."	<http://purl.obolibrary.org/obo/ENVO_03000113>
"hair ice"@en	"envoPolar"	"A type of water ice that forms on dead wood with the assistance of the fungus Exidiopsis effusa and takes the shape of fine, silky hair."	<http://purl.obolibrary.org/obo/ENVO_01000847>
"thaw hole"@en	"envoPolar"	"A vertical meltpond hole which has formed through an ice mass floating on a water body, bridging the atmosphere to the underlying water."	<http://purl.obolibrary.org/obo/ENVO_03000048>
"disturbed area"	"envoPolar"	"A disturbed area is an environmental zone which includes an ecosystem which was subject to an ecological disturbance. That is, the ecosystem in the area has undergone a pronounced change in response to a change in environmental conditions or other perturbation."	<http://purl.obolibrary.org/obo/ENVO_01000445>
"marine water mass"@en	"envoPolar"	"A mass of marine water."	<http://purl.obolibrary.org/obo/ENVO_01000686>
"thermokarst depression"@en	"envoPolar"	"A geographic basin which is formed due to the erosion of thermokarst by meltwater released from thawing permafrost."	<http://purl.obolibrary.org/obo/ENVO_03000084>
"ice cap ridge"	"envoPolar"	"A linear elevation on an icecap."	<http://purl.obolibrary.org/obo/ENVO_00000528>
"ice formation process"@en	"envoPolar"	"A depositional process during which water vapour is frozen into water ice."	<http://purl.obolibrary.org/obo/ENVO_03000055>
"polar stratospheric cloud"@en	"envoPolar"	"Polar stratospheric clouds are clouds which form in the winter polar stratosphere at altitudes of 15,000â€“25,000 metres and which support chemical reactions that produce active chlorine and remove gaseous nitric acid, catalysing ozone destruction."	<http://purl.obolibrary.org/obo/ENVO_01000761>
"biosphere"@en	"envoPolar"	"A biosphere is an environmental system which includes, as parts, all the living entities within the gravitational sphere of influence of an astronomical body, and the non-living and dead entities which they interact with."	<http://purl.obolibrary.org/obo/ENVO_01000817>
"polluted lake"@en	"environmental_hazards"	"A lake which has concentrations of environmental contaminants high enough to harm the ecosystems associated with it."	<http://purl.obolibrary.org/obo/ENVO_01000680>
"mountain range"	"envoPolar"	"A series of connected and aligned mountains or mountain ridges."	<http://purl.obolibrary.org/obo/ENVO_00000080>
"lateral moraine"	"envoPolar"	"The parallel ridges of till deposited along the sides of an alglacier. The unconsolidated debris is deposited on top of the glacier by frost shattering of the valley walls and from tributary streams flowing into the valley. The till is carried along the glacial margin until the glacier melts."	<http://purl.obolibrary.org/obo/ENVO_00000249>
"manganese-reducing sediment"	"envoPolar"	"Sediment hosting and characterised by active manganese reducing microbial communities."	<http://purl.obolibrary.org/obo/ENVO_01000151>
"snowfall"@en	"environmental_hazards"	"A hydrological process in which irregular aggregates of snow fall to a planetary surface."	<http://purl.obolibrary.org/obo/ENVO_01000895>
"atmospheric column"@en	"envoPolar"	"A vertical pillar defined by a unit area on a planetary surface and bounded by the top of the atmosphere that is used to quantify an atmospheric parameter such as pressure, ozone or precipitable water."	<http://purl.obolibrary.org/obo/ENVO_01000675>
"extreme habitat"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"A habitat having at least one environmental quality that tends towards either the largest or smallest element of the set. The physical or geochemical extreme conditions found in an extreme habitat are often detrimental to the majority of life on Earth."	<http://purl.obolibrary.org/obo/ENVO_00002020>
"material accumulation process"@en	"envoPolar"	"A process during which the mass of one or more materials, present within a given site, increases."	<http://purl.obolibrary.org/obo/ENVO_03000009>
"small river biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_00000890>
"water ice"	"envoPolar"	"Ice is water frozen into a solid state. It can appear transparent or opaque bluish-white color, depending on the presence of impurities or air inclusions. The addition of other materials such as soil may further alter its appearance."	<http://purl.obolibrary.org/obo/ENVO_01000277>
"lake"	"envoPolar"	"A body of water or other liquid of considerable size contained on a body of land."	<http://purl.obolibrary.org/obo/ENVO_00000020>
"methane clathrate"@en	"envoPolar"	"A clathrate material in which a large amount of methane is trapped within a crystal structure of water, forming a solid similar to ice."	<http://purl.obolibrary.org/obo/ENVO_01000851>
"temperate marginal sea biome"@en	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000856>
"pancake ice"@en	"envoPolar"	"A sea ice floe which has a rounded or circular shape and raised rims."	<http://purl.obolibrary.org/obo/ENVO_03000067>
"artificial harbor"	"envoPolar"	"A harbor constructed by human agency."	<http://purl.obolibrary.org/obo/ENVO_00000464>
"aerobic respiration, using ammonia as electron donor"	"envoPolar"	"The metabolic process in which ammonia (NH3) is oxidized to nitrite (NO2) in the presence of oxygen; enzymatic reactions convert ammonia to hydrazine, and hydrazine to nitrite."	<http://purl.obolibrary.org/obo/GO_0019409>
"powdery snow avalanche"@en	"envoPolar"	"An avalanche is a rapid flow of snow down a sloping surface."	<http://purl.obolibrary.org/obo/ENVO_03000106>
"layer"	"envoPolar"	"A layer is a quantity of some material which has comparable thickness and usually covers some surface."	<http://purl.obolibrary.org/obo/ENVO_01000281>
"microbial feature"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_01000007>
"volcanic eruption"@en	"environmental_hazards"	"A volcanic process is a process during which lava, tephra (ash, lapilli, volcanic bombs and blocks), and assorted gases are expelled from a volcanic vent or fissure."	<http://purl.obolibrary.org/obo/ENVO_01000634>
"liquid environmental material"@en	"envoPolar"	"An environmental material which is in a liquid state."	<http://purl.obolibrary.org/obo/ENVO_01000815>
"proglacial lake"	"envoPolar"	"A lake formed either by the damming action of a moraine or ice dam during the retreat of a melting glacier, or one formed by meltwater trapped against an ice mass due to isostatic depression of the crust around the ice."	<http://purl.obolibrary.org/obo/ENVO_00000435>
"flooded savanna biome"	"wwfBiome"	"A flooded savanna biome is a savanna biome which has very wet to saturated soil moisture content."	<http://purl.obolibrary.org/obo/ENVO_01000190>
"aeolian transport of snow"@en	"envoPolar"	"An aeolian transport process during which powdery snow is displaced and moved."	<http://purl.obolibrary.org/obo/ENVO_03000103>
"geological subsidence"@en	"environmental_hazards"	"A subsidence process is a geomorphologic process in which a surface shifts downward relative to a datum such as sea-level."	<http://purl.obolibrary.org/obo/ENVO_01000694>
"snowstorm"@en	"environmental_hazards"	"An atmospheric storm during which intense snowfall occurs."	<http://purl.obolibrary.org/obo/ENVO_01000881>
"marine photic zone"	"envoPolar"	"The zone of an ocean from the surface to where photosynthesis can occur, due to the penetration of light."	<http://purl.obolibrary.org/obo/ENVO_00000209>
"storm surge process"@en	"environmental_hazards"	"A storm surge process is a coastal flooding process which is caused by low pressure weather systems such as tropical cyclones and strong extratropical cyclones, the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides."	<http://purl.obolibrary.org/obo/ENVO_01000716>
"ice calving process"@en	"envoPolar"	"A process during which a part of an ice mass breaks away from the main mass."	<http://purl.obolibrary.org/obo/ENVO_01000917>
"depositional process"@en	"envoPolar"	"A process during which material entities are added to a landform or to a feature upon the landform."	<http://purl.obolibrary.org/obo/ENVO_03000054>
"area of emergent herbaceous wetland"@en	"nlcd2011"	"An area of a planet's surface which is primarily covered by perennial herbaceous vegetation and where the underlying soil or substrate is periodically saturated with or covered by water. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000894>
"mediterranean shrubland biome"	"wwfBiome"	"A mediterranean shrubland biome is a subtropical shrubland biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water."	<http://purl.obolibrary.org/obo/ENVO_01000217>
"paternoster lake"	"envoPolar"	"One of a series of glacial lakes connected by a single stream or a braided stream system."	<http://purl.obolibrary.org/obo/ENVO_00000487>
"multiyear ice"@en	"envoPolar"	"Sea ice which is thicker then second year ice, and has survived more than two seasonal melting process."	<http://purl.obolibrary.org/obo/ENVO_03000073>
"nilas"@en	"envoPolar"	"A sea ice floe which is thin, elastic, continuous, and of a transparent gray color, which results from the freezing of new ice."	<http://purl.obolibrary.org/obo/ENVO_03000068>
"snowfall"@en	"envoPolar"	"A hydrological process in which irregular aggregates of snow fall to a planetary surface."	<http://purl.obolibrary.org/obo/ENVO_01000895>
"temperate mediterranean sea biome"@en	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000857>
"marine neritic benthic zone biome"	"envoPolar"	"The marine neritic zone biome comprises sea floor from the high tide mark to a continental shelf break. This zone generally extends to 200 m below average sea level."	<http://purl.obolibrary.org/obo/ENVO_01000025>
"asthenosphere"@en	"envoPolar"	"An asthenosphere is a layer of a terrestrial-type planet or natural satellite which is highly viscous, mechanically weak, and ductilely deforming."	<http://purl.obolibrary.org/obo/ENVO_01000647>
"ice cap dome"	"envoPolar"	"A comparatively elevated area on an icecap."	<http://purl.obolibrary.org/obo/ENVO_00000342>
"marine benthic biome"	"envoPolar"	"The marine benthic biome (benthic meaning 'bottom') encompasses the seafloor and includes such areas as shores, littoral or intertidal areas, marine coral reefs, and the deep seabed."	<http://purl.obolibrary.org/obo/ENVO_01000024>
"marine thermocline"	"envoPolar"	"The marine thermocline describes a sharp change in the temperature of seawater (in relation to the temperature gradients of the water mass surrounding it) in the marine water column, which is usually associated with rapid changes in water density and salinity."	<http://purl.obolibrary.org/obo/ENVO_01000075>
"animal-associated habitat"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"A habitat that is in or on a living animal. Here \"animal\" denotes an individual of a species that is a sub-taxon of NCBITaxon:33208."	<http://purl.obolibrary.org/obo/ENVO_00006776>
"area of gramanoid or herbaceous vegetation"@en	"nlcd2011"	"An area of a planet's surface which is primarily covered by gramanoid or herbaceous vegetation and which is not subject to intensive management by humans. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000888>
"soil"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"Soil is an environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms."	<http://purl.obolibrary.org/obo/ENVO_00001998>
"powdery snow avalanche"@en	"environmental_hazards"	"An avalanche is a rapid flow of snow down a sloping surface."	<http://purl.obolibrary.org/obo/ENVO_03000106>
"marine sediment"@en	"envoPolar"	"Sediment which has been transported through the marine water column, settling on the seafloor."	<http://purl.obolibrary.org/obo/ENVO_03000033>
"powdery snow"@en	"envoPolar"	"Uncompacted snow containing trapped atmospheric gases."	<http://purl.obolibrary.org/obo/ENVO_03000027>
"ecological community"	"envoPolar"	"A collection of organisms of at least two different species, living in a particular area."	<http://purl.obolibrary.org/obo/PCO_0000002>
"cryoconite"@en	"envoPolar"	"Particulate matter which is composed primarily of dust, rock, and soot, as well as the microbial communities associated with these materials, deposited on an ice mass by an aeolian process."	<http://purl.obolibrary.org/obo/ENVO_03000038>
"oceanic zone"	"envoPolar"	"The water mass of an ocean that is not above a continental shelf."	<http://purl.obolibrary.org/obo/ENVO_00000207>
"snowstorm"@en	"envoPolar"	"An atmospheric storm during which intense snowfall occurs."	<http://purl.obolibrary.org/obo/ENVO_01000881>
"planet"@en	"envoPolar"	"A planet is an astronomical body orbiting a star or stellar remnant that is massive enough to be rounded by its own gravity, is not massive enough to cause thermonuclear fusion, and has cleared its neighbouring region of planetesimals."	<http://purl.obolibrary.org/obo/ENVO_01000800>
"tarn"	"envoPolar"	"A mountain lake that is formed in a cirque excavated by a glacier. A moraine may form a natural dam below a tarn."	<http://purl.obolibrary.org/obo/ENVO_00000455>
"area of sedge- and forb-dominated herbaceious vegetation"@en	"nlcd2011"	"An area of a planet's surface which is primarily covered by sedges or forbs, possibly interpersed with grasses or grass-like plants. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000887>
"air"	"envoPolar"	"The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth."	<http://purl.obolibrary.org/obo/ENVO_00002005>
"siliceous ooze"	"envoPolar"	"Siliceous ooze is a marine sediment composed of the debris of plankton with silica shells, such as diatoms and radiolaria. This ooze is limited to areas with high biological productivity, such as the polar oceans, and upwelling zones near the equator. The least common type of sediment, it covers only 15% of the ocean floor. It accumulates at a slower rate than calcareous ooze: 0.2-1 cm / 1000 yr."	<http://purl.obolibrary.org/obo/ENVO_02000044>
"hydrographic feature"	"envoPolar"	"A geographical feature associated with water."	<http://purl.obolibrary.org/obo/ENVO_00000012>
"slab avalanche"@en	"environmental_hazards"	"A mass wasting process during which slab snow rapidly moves down a sloping surface."	<http://purl.obolibrary.org/obo/ENVO_03000105>
"subglacial lake"@en	"envoPolar"	"A lake which is situated beneath a glacier."	<http://purl.obolibrary.org/obo/ENVO_03000120>
"tropical coniferous forest biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000210>
"glacial ice loss"@en	"envoPolar"	"A process during which the mass of ice constituting a glacier decreases."	<http://purl.obolibrary.org/obo/ENVO_03000017>
"warm season"@en	"envoPolar"	"A season during which the average temperature of a planetary part exceeds that of all other seasons it endures during a season generating process."	<http://purl.obolibrary.org/obo/ENVO_03000097>
"arid"	"envoPolar"	"An arid condition is an environmental condition in which annual precipitation is less than half of annual potential evapotranspiration."	<http://purl.obolibrary.org/obo/ENVO_01000230>
"moraine"	"envoPolar"	"An accumulation of boulders, stones, or other debris carried and deposited by a glacier."	<http://purl.obolibrary.org/obo/ENVO_00000177>
"geographic feature"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_00000000>
"urban pollution"	"environmental_hazards"	"A pollution process that results in increased levels of pollutants in an urban environment."	<http://purl.obolibrary.org/obo/ENVO_02500044>
"mediterranean forest biome"	"wwfBiome"	"A mediterranean forest biome is a forest biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water."	<http://purl.obolibrary.org/obo/ENVO_01000199>
"icestorm"@en	"environmental_hazards"	"An atmospheric storm during which freezing rain falls and accumulates as ice on exposed surfaces."	<http://purl.obolibrary.org/obo/ENVO_01000882>
"wet snow avalanche"@en	"environmental_hazards"	"An avalanche during which a suspension of water and snow flows down a sloping surface."	<http://purl.obolibrary.org/obo/ENVO_03000107>
"icefall"	"envoPolar"	"A portion of a glacier characterized by rapid flow and a chaotic crevassed surface."	<http://purl.obolibrary.org/obo/ENVO_00000307>
"polar desert biome"	"envoPolar"	"A polar desert biome is a desert biome which is subject to low levels of insolation, annual precipitation less than 250 millimeters, and a mean temperature less than 10 degrees Celsius during its warmest month. Temperature changes in polar deserts frequently cross the freezing point of water."	<http://purl.obolibrary.org/obo/ENVO_01000186>
"ice-covered lake"	"envoPolar"	"A lake permanently covered by ice."	<http://purl.obolibrary.org/obo/ENVO_00000198>
"snow drift formation"@en	"envoPolar"	"An accumulation process during which a powdery snow carried on the wind settles on a solid surface, forming a mound."	<http://purl.obolibrary.org/obo/ENVO_03000104>
"ablation zone"@en	"envoPolar"	"An environmental zone which is primarily composed of water ice, present as a glacier or an ice sheet, and in which ice loss exceeds ice gain."	<http://purl.obolibrary.org/obo/ENVO_01000914>
"temperate marine upwelling biome"@en	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000860>
"photosynthesis"	"envoPolar"	"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds."	<http://purl.obolibrary.org/obo/GO_0015979>
"area of barren land"@en	"nlcd2011"	"An area of a planet's surface which is primarily composed of bedrock, desert pavement, scarp rock, talus, material exposed by slides, volcanic material, glacial debris, sand, material exposed during strip mining, gravel, and other accumulations of earthen material in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000752>
"water pollution"	"envoPolar"	"A pollution process during which water is contaminated."	<http://purl.obolibrary.org/obo/ENVO_02500039>
"pingo"	"envoPolar"	"A mound of earth-covered ice found in the Arctic, subarctic, and Antarctica that can reach up to 70 metres in height and up to 2 kilometres in diameter."	<http://purl.obolibrary.org/obo/ENVO_00000413>
