?label	?subset	?def	?cls
"englacial stream"@en	"envoPolar"	"A stream which is primarily composed of meltwater and which flows within a glacier or ice sheet."	<http://purl.obolibrary.org/obo/ENVO_03000018>
"hailstorm"@en	"environmental_hazards"	"An atmospheric storm which intense hailfall occurs."	<http://purl.obolibrary.org/obo/ENVO_01000880>
"sludge"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes."	<http://purl.obolibrary.org/obo/ENVO_00002044>
"blizzard"@en	"environmental_hazards"	"A blizzard is a severe snowstorm during which snowfall is transported by strong winds, sustained for several hours."	<http://purl.obolibrary.org/obo/ENVO_01000903>
"brine"	"envoPolar"	"Water saturated or nearly saturated with salt (NaCl)."	<http://purl.obolibrary.org/obo/ENVO_00003044>
"ecozone"	"envoPolar"	"Ecozones delineate large areas of the Earth's surface within which organisms have been evolving in relative isolation over long periods of time, separated from one another by geographic features, such as oceans, broad deserts, or high mountain ranges, that constitute barriers to migration."	<http://purl.obolibrary.org/obo/ENVO_01000280>
"algal bloom process"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_02500018>
"temperate mixed forest biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000212>
"hydrosphere"@en	"envoPolar"	"An astronomical body part which is composed of the combined mass of water found on, under, and over the surface of a planet."	<http://purl.obolibrary.org/obo/ENVO_01000819>
"ice tongue"	"envoPolar"	"A long and narrow sheet of ice projecting out from the coastline. An ice tongue forms when a valley glacier moves very rapidly out into the ocean or a lake."	<http://purl.obolibrary.org/obo/ENVO_00000392>
"hailfall"@en	"envoPolar"	"Hailfall is a hydrological process in which balls or irregular lumps of water ice formed in thunderstorm or cumulonimbus clouds fall to a planetary surface."	<http://purl.obolibrary.org/obo/ENVO_01000874>
"sediment"	"envoPolar"	"Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid."	<http://purl.obolibrary.org/obo/ENVO_00002007>
"marine environment"	"envoPolar"	"A marine environment and enviroment which is determined by a marine water body."	<http://purl.obolibrary.org/obo/ENVO_01000320>
"new ice formation process"@en	"envoPolar"	"An ice formation process during which water is frozen into a form of new ice such as frazil, grease ice, slush, or shuga."	<http://purl.obolibrary.org/obo/ENVO_03000056>
"upper montane"	"envoPolar"	"An upper montane condition is a montane condition in which an altitude range falls immediately below the tree line."	<http://purl.obolibrary.org/obo/ENVO_01000345>
"marine algal bloom"	"envoPolar"	"A marine algal bloom is a rapid increase or accumulation in the population of algae in a marine system. Typically, only one or a small number of phytoplankton  species are involved. Although there is no officially recognized threshold level, algae can be considered to be blooming at concentrations of hundreds to thousands of cells per milliliter, depending on the severity."	<http://purl.obolibrary.org/obo/ENVO_01000057>
"inlet"	"envoPolar"	"An opening of the sea into the land, or of a lake into its shore."	<http://purl.obolibrary.org/obo/ENVO_00000475>
"marine cold-water sphere"	"envoPolar"	"The marine cold-water sphere describes a water mass extending from the polar seas and across low latitudes at depths of ca. 800 to 1000 m, which is separated from the marine warm-water sphere by the permanent marine thermocline"	<http://purl.obolibrary.org/obo/ENVO_01000108>
"season"@en	"envoPolar"	"A one-dimensional temporal region which is delimited by the occurrence of processes which serve as its delimiters."	<http://purl.obolibrary.org/obo/ENVO_03000096>
"air pollution"	"environmental_hazards"	"A pollution process that releases particulates into the atmosphere."	<http://purl.obolibrary.org/obo/ENVO_02500037>
"vegetated area"	"envoPolar"	"A vegetated area is a geographic feature which has ground cover dominated by plant communities."	<http://purl.obolibrary.org/obo/ENVO_01001305>
"lahar"@en	"environmental_hazards"	"A lahar is a type of mudflow or debris flow composed of a slurry of pyroclastic material, rocky debris, and water. The material flows down from a volcano, typically along a river valley."	<http://purl.obolibrary.org/obo/ENVO_01000699>
"avalanche"@en	"environmental_hazards"	"An avalanche is a rapid flow of snow down a sloping surface."	<http://purl.obolibrary.org/obo/ENVO_01000691>
"sodium chloride salt"@en	"envoPolar"	"A mineral material composed primarily of sodium chloride."	<http://purl.obolibrary.org/obo/ENVO_01000681>
"marine channel"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_00000396>
"outlet glacier"	"envoPolar"	"A glacier fed by an ice sheet."	<http://purl.obolibrary.org/obo/ENVO_00000459>
"organism-associated habitat"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"A habitat that is in or on a living thing."	<http://purl.obolibrary.org/obo/ENVO_00002032>
"montane"	"envoPolar"	"A montane condition is an environmental condition in which an altitude range falls between mid-altitude forests and the tree line."	<http://purl.obolibrary.org/obo/ENVO_01000342>
"glacier"	"envoPolar"	"An ice mass which is of sufficient mass that the action of gravity upon it overcomes the frictional forces holding it in place, causing it to deform and flow towards lower elevation."	<http://purl.obolibrary.org/obo/ENVO_00000133>
"pollution monitoring"	"envoPolar"	"A monitoring process that assays the level of environmental pollutants to determine the presence of effect of environmental pollution."	<http://purl.obolibrary.org/obo/ENVO_02500043>
"ocean acidification"@en	"envoPolar"	"Ocean acidification is a process whereby the pH of a sea or ocean is lowered."	<http://purl.obolibrary.org/obo/ENVO_01000631>
"young ice"@en	"envoPolar"	"A sea ice floe which is inflexible and thicker then nilas."	<http://purl.obolibrary.org/obo/ENVO_03000069>
"plastic pollution"	"envoPolar"	"A pollution process that results in increased levels of plastic in the environment."	<http://purl.obolibrary.org/obo/ENVO_02500040>
"geographic basin"@en	"envoPolar"	"A depression which is part of a planetary crust, is of geographic scale, and is partially or completely enclosed."	<http://purl.obolibrary.org/obo/ENVO_03000015>
"glacial sintering"@en	"envoPolar"	"A sintering process during which snow is compacted into glacial ice."	<http://purl.obolibrary.org/obo/ENVO_03000102>
"glacial feature"	"envoPolar"	"A hydrographic feature characterized by the dominance of snow or ice."	<http://purl.obolibrary.org/obo/ENVO_00000131>
"glacial abrasion"@en	"envoPolar"	"A glacial abrasion process is an erosional process during which debris in the basal ice scrapes along the bed, polishing and gouging the underlying rocks, similar to sandpaper on wood."	<http://purl.obolibrary.org/obo/ENVO_01000682>
"carbon dioxide-reducing sediment"	"envoPolar"	"Sediment hosting and characterised by active carbon dioxide reducing microbial communities."	<http://purl.obolibrary.org/obo/ENVO_01000154>
"ice sheet"	"envoPolar"	"A mass of glacier ice that covers surrounding terrain and is greater than 50,000 km2."	<http://purl.obolibrary.org/obo/ENVO_00000132>
"ice mass"	"envoPolar"	"A mass of ice."	<http://purl.obolibrary.org/obo/ENVO_01000293>
"soil erosion"@en	"envoPolar"	"Soil erosion is a process in which exogenic processes remove soil from one location on the Earth's crust and transport it to another location where it is deposited."	<http://purl.obolibrary.org/obo/ENVO_01000706>
"supraglacial lake"@en	"envoPolar"	"A water body which is located in a depression within the surface of a glacier."	<http://purl.obolibrary.org/obo/ENVO_03000035>
"subtropical shrubland biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000213>
"atmosphere and water column exposed melt pond"@en	"envoPolar"	"A melt pond which spans an ice mass, and is exposed to both the atmosphere and any underlying water."	<http://purl.obolibrary.org/obo/ENVO_03000118>
"shuga formation process"@en	"envoPolar"	"A new ice formation process in which shuga is formed."	<http://purl.obolibrary.org/obo/ENVO_03000079>
"firn"@en	"envoPolar"	"Granular snow which contains a proportion of fused granules formed through melting and re-thawing while being compacted by the weight of overlying material and which contains interconnected gaseous pores."	<http://purl.obolibrary.org/obo/ENVO_03000002>
