x,xl,p,pl,y,yl
http://purl.obolibrary.org/obo/ENVO_00000508,terrace,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_00002000,slope
http://purl.obolibrary.org/obo/ENVO_01000293,ice mass,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_01000277,water ice
http://purl.obolibrary.org/obo/ENVO_01000392,tropical upper montane forest,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000345,upper montane
http://purl.obolibrary.org/obo/ENVO_00002015,volcanic rock,http://purl.obolibrary.org/obo/RO_0002354,,http://purl.obolibrary.org/obo/ENVO_01000634,volcanic eruption
http://purl.obolibrary.org/obo/ENVO_01000148,marine coral reef buttress zone,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000150,coral reef
http://purl.obolibrary.org/obo/ENVO_00002261,forest soil,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000111,forest
http://purl.obolibrary.org/obo/ENVO_00002131,epilimnion,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000199,meromictic lake
http://purl.obolibrary.org/obo/ENVO_01000500,brick exterior wall,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000475,brick
http://purl.obolibrary.org/obo/ENVO_01000652,river channel,http://purl.obolibrary.org/obo/RO_0001015,,http://purl.obolibrary.org/obo/ENVO_00000022,river
http://purl.obolibrary.org/obo/ENVO_01000714,storm surge,http://purl.obolibrary.org/obo/RO_0002354,,http://purl.obolibrary.org/obo/ENVO_01000716,storm surge process
http://purl.obolibrary.org/obo/ENVO_01000403,tropical mangrove,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_01000181,mangrove biome
http://purl.obolibrary.org/obo/ENVO_00000486,shoreline,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000304,shore
http://purl.obolibrary.org/obo/ENVO_01000143,marine reef,http://purl.obolibrary.org/obo/RO_0001025,,http://purl.obolibrary.org/obo/ENVO_00001999,marine water body
http://purl.obolibrary.org/obo/ENVO_00000316,intertidal zone,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000304,shore
http://purl.obolibrary.org/obo/ENVO_01000191,subtropical grassland biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000205,subtropical
http://purl.obolibrary.org/obo/ENVO_00000483,plunge pool,http://purl.obolibrary.org/obo/RO_0002354,,http://purl.obolibrary.org/obo/ENVO_02500028,erosion
http://purl.obolibrary.org/obo/ENVO_01000296,dry lake bed,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000277,dry lake
http://purl.obolibrary.org/obo/ENVO_01000270,claystone,http://purl.obolibrary.org/obo/RO_0001000,,http://purl.obolibrary.org/obo/ENVO_00002982,clay
http://purl.obolibrary.org/obo/ENVO_01000395,temperate sclerophyllous dry forest,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000206,temperate
http://purl.obolibrary.org/obo/ENVO_01000389,temperate mixed broadleaf forest,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000206,temperate
